match_id,t1,t2,date,0_in_pool,1_in_pool,2_in_pool,3_in_pool,4_in_pool,5_in_pool,6_in_pool,7_in_pool,8_in_pool,9_in_pool,team,action,map
170403,10400,11276,2023-02-26,1,0,0,0,0,0,0,0,0,0,0,remaining,0
276513,5214,11250,2023-09-30,1,1,1,0,1,0,1,0,1,1,5214,ban,1
276513,5214,11250,2023-09-30,1,0,1,0,1,0,1,0,1,1,11250,ban,2
276513,5214,11250,2023-09-30,1,0,0,0,1,0,1,0,1,1,5214,pick,6
276513,5214,11250,2023-09-30,1,0,0,0,1,0,0,0,1,1,11250,pick,8
276513,5214,11250,2023-09-30,1,0,0,0,1,0,0,0,0,1,5214,ban,9
276513,5214,11250,2023-09-30,1,0,0,0,1,0,0,0,0,0,11250,ban,0
276513,5214,11250,2023-09-30,0,0,0,0,1,0,0,0,0,0,0,remaining,4
296737,14,5448,2024-02-19,1,1,1,0,0,1,1,0,1,1,14,ban,5
296737,14,5448,2024-02-19,1,1,1,0,0,0,1,0,1,1,5448,ban,2
296737,14,5448,2024-02-19,1,1,0,0,0,0,1,0,1,1,14,pick,6
296737,14,5448,2024-02-19,1,1,0,0,0,0,0,0,1,1,5448,pick,0
296737,14,5448,2024-02-19,0,1,0,0,0,0,0,0,1,1,14,ban,1
296737,14,5448,2024-02-19,0,0,0,0,0,0,0,0,1,1,5448,ban,8
296737,14,5448,2024-02-19,0,0,0,0,0,0,0,0,0,1,0,remaining,9
300589,1470,6159,2024-03-05,1,1,1,0,0,1,1,0,1,1,1470,ban,1
300589,1470,6159,2024-03-05,1,0,1,0,0,1,1,0,1,1,6159,ban,9
300589,1470,6159,2024-03-05,1,0,1,0,0,1,1,0,1,0,1470,pick,0
300589,1470,6159,2024-03-05,0,0,1,0,0,1,1,0,1,0,6159,pick,8
300589,1470,6159,2024-03-05,0,0,1,0,0,1,1,0,0,0,1470,ban,5
300589,1470,6159,2024-03-05,0,0,1,0,0,0,1,0,0,0,6159,ban,2
300589,1470,6159,2024-03-05,0,0,0,0,0,0,1,0,0,0,0,remaining,6
289447,17,4733,2023-12-14,1,1,1,0,1,0,1,0,1,1,17,ban,9
289447,17,4733,2023-12-14,1,1,1,0,1,0,1,0,1,0,4733,ban,1
289447,17,4733,2023-12-14,1,0,1,0,1,0,1,0,1,0,17,pick,6
289447,17,4733,2023-12-14,1,0,1,0,1,0,0,0,1,0,4733,pick,0
289447,17,4733,2023-12-14,0,0,1,0,1,0,0,0,1,0,17,ban,8
289447,17,4733,2023-12-14,0,0,1,0,1,0,0,0,0,0,4733,ban,2
289447,17,4733,2023-12-14,0,0,0,0,1,0,0,0,0,0,0,remaining,4
193284,10421,12373,2023-05-17,1,1,0,1,1,0,1,1,1,0,10421,ban,8
193284,10421,12373,2023-05-17,1,1,0,1,1,0,1,1,0,0,12373,ban,0
193284,10421,12373,2023-05-17,0,1,0,1,1,0,1,1,0,0,10421,pick,7
193284,10421,12373,2023-05-17,0,1,0,1,1,0,1,0,0,0,12373,pick,4
193284,10421,12373,2023-05-17,0,1,0,1,0,0,1,0,0,0,10421,ban,1
193284,10421,12373,2023-05-17,0,0,0,1,0,0,1,0,0,0,12373,ban,6
193284,10421,12373,2023-05-17,0,0,0,1,0,0,0,0,0,0,0,remaining,3
329324,10755,10727,2024-04-12,1,1,1,0,0,1,1,0,1,1,10755,ban,0
329324,10755,10727,2024-04-12,0,1,1,0,0,1,1,0,1,1,10727,ban,9
329324,10755,10727,2024-04-12,0,1,1,0,0,1,1,0,1,0,10755,pick,6
329324,10755,10727,2024-04-12,0,1,1,0,0,1,0,0,1,0,10727,pick,5
329324,10755,10727,2024-04-12,0,1,1,0,0,0,0,0,1,0,10755,ban,1
329324,10755,10727,2024-04-12,0,0,1,0,0,0,0,0,1,0,10727,ban,2
329324,10755,10727,2024-04-12,0,0,0,0,0,0,0,0,1,0,0,remaining,8
183944,2059,1184,2023-04-05,1,0,0,1,1,1,1,1,1,0,2059,ban,7
183944,2059,1184,2023-04-05,1,0,0,1,1,1,1,0,1,0,1184,ban,3
183944,2059,1184,2023-04-05,1,0,0,0,1,1,1,0,1,0,2059,pick,4
183944,2059,1184,2023-04-05,1,0,0,0,0,1,1,0,1,0,1184,pick,6
183944,2059,1184,2023-04-05,1,0,0,0,0,1,0,0,1,0,2059,ban,0
183944,2059,1184,2023-04-05,0,0,0,0,0,1,0,0,1,0,1184,ban,8
183944,2059,1184,2023-04-05,0,0,0,0,0,1,0,0,0,0,0,remaining,5
327268,12489,14467,2024-04-14,1,1,1,0,0,1,1,0,1,1,12489,ban,1
327268,12489,14467,2024-04-14,1,0,1,0,0,1,1,0,1,1,14467,ban,9
327268,12489,14467,2024-04-14,1,0,1,0,0,1,1,0,1,0,12489,pick,6
327268,12489,14467,2024-04-14,1,0,1,0,0,1,0,0,1,0,14467,pick,5
327268,12489,14467,2024-04-14,1,0,1,0,0,0,0,0,1,0,12489,ban,9
327268,12489,14467,2024-04-14,1,0,1,0,0,0,0,0,1,0,14467,ban,2
327268,12489,14467,2024-04-14,1,0,0,0,0,0,0,0,1,0,0,remaining,8
314894,10725,13188,2024-03-19,1,1,1,0,0,1,1,0,1,1,10725,ban,9
314894,10725,13188,2024-03-19,1,1,1,0,0,1,1,0,1,0,13188,ban,0
314894,10725,13188,2024-03-19,0,1,1,0,0,1,1,0,1,0,10725,pick,6
314894,10725,13188,2024-03-19,0,1,1,0,0,1,0,0,1,0,13188,pick,8
314894,10725,13188,2024-03-19,0,1,1,0,0,1,0,0,0,0,10725,ban,5
314894,10725,13188,2024-03-19,0,1,1,0,0,0,0,0,0,0,13188,ban,2
314894,10725,13188,2024-03-19,0,1,0,0,0,0,0,0,0,0,0,remaining,1
329331,15021,15117,2024-04-30,1,1,1,0,0,1,1,0,1,1,15021,ban,9
329331,15021,15117,2024-04-30,1,1,1,0,0,1,1,0,1,0,15117,ban,5
329331,15021,15117,2024-04-30,1,1,1,0,0,0,1,0,1,0,15021,pick,0
329331,15021,15117,2024-04-30,0,1,1,0,0,0,1,0,1,0,15117,pick,2
329331,15021,15117,2024-04-30,0,1,0,0,0,0,1,0,1,0,15021,ban,8
329331,15021,15117,2024-04-30,0,1,0,0,0,0,1,0,0,0,15117,ban,1
329331,15021,15117,2024-04-30,0,0,0,0,0,0,1,0,0,0,0,remaining,6
165584,6751,9077,2023-02-23,1,0,0,1,1,1,1,1,1,0,6751,ban,7
165584,6751,9077,2023-02-23,1,0,0,1,1,1,1,0,1,0,9077,ban,3
165584,6751,9077,2023-02-23,1,0,0,0,1,1,1,0,1,0,6751,pick,5
165584,6751,9077,2023-02-23,1,0,0,0,1,0,1,0,1,0,9077,pick,6
165584,6751,9077,2023-02-23,1,0,0,0,1,0,0,0,1,0,6751,ban,0
165584,6751,9077,2023-02-23,0,0,0,0,1,0,0,0,1,0,9077,ban,4
165584,6751,9077,2023-02-23,0,0,0,0,0,0,0,0,1,0,0,remaining,8
189033,9507,3136,2023-04-13,1,0,0,1,1,1,1,1,1,0,9507,ban,5
189033,9507,3136,2023-04-13,1,0,0,1,1,0,1,1,1,0,3136,ban,8
189033,9507,3136,2023-04-13,1,0,0,1,1,0,1,1,0,0,9507,pick,4
189033,9507,3136,2023-04-13,1,0,0,1,0,0,1,1,0,0,3136,pick,7
189033,9507,3136,2023-04-13,1,0,0,1,0,0,1,0,0,0,9507,ban,0
189033,9507,3136,2023-04-13,0,0,0,1,0,0,1,0,0,0,3136,ban,3
189033,9507,3136,2023-04-13,0,0,0,0,0,0,1,0,0,0,0,remaining,6
300515,14773,14811,2024-02-29,1,1,1,0,0,1,1,0,1,1,14773,ban,9
300515,14773,14811,2024-02-29,1,1,1,0,0,1,1,0,1,0,14811,ban,5
300515,14773,14811,2024-02-29,1,1,1,0,0,0,1,0,1,0,14773,pick,2
300515,14773,14811,2024-02-29,1,1,0,0,0,0,1,0,1,0,14811,pick,6
300515,14773,14811,2024-02-29,1,1,0,0,0,0,0,0,1,0,14773,ban,8
300515,14773,14811,2024-02-29,1,1,0,0,0,0,0,0,0,0,14811,ban,1
300515,14773,14811,2024-02-29,1,0,0,0,0,0,0,0,0,0,0,remaining,0
297043,13368,8369,2024-02-08,1,1,1,0,0,1,1,0,1,1,13368,ban,2
297043,13368,8369,2024-02-08,1,1,0,0,0,1,1,0,1,1,8369,ban,9
297043,13368,8369,2024-02-08,1,1,0,0,0,1,1,0,1,0,13368,pick,6
297043,13368,8369,2024-02-08,1,1,0,0,0,1,0,0,1,0,8369,pick,5
297043,13368,8369,2024-02-08,1,1,0,0,0,0,0,0,1,0,13368,ban,0
297043,13368,8369,2024-02-08,0,1,0,0,0,0,0,0,1,0,8369,ban,1
297043,13368,8369,2024-02-08,0,0,0,0,0,0,0,0,1,0,0,remaining,8
296797,4050,6665,2024-02-04,1,1,1,0,0,1,1,0,1,1,4050,ban,0
296797,4050,6665,2024-02-04,0,1,1,0,0,1,1,0,1,1,6665,ban,1
296797,4050,6665,2024-02-04,0,0,1,0,0,1,1,0,1,1,4050,pick,9
296797,4050,6665,2024-02-04,0,0,1,0,0,1,1,0,1,0,6665,pick,6
296797,4050,6665,2024-02-04,0,0,1,0,0,1,0,0,1,0,4050,ban,2
296797,4050,6665,2024-02-04,0,0,0,0,0,1,0,0,1,0,6665,ban,8
296797,4050,6665,2024-02-04,0,0,0,0,0,1,0,0,0,0,0,remaining,5
326883,14958,7511,2024-04-18,1,1,1,0,0,1,1,0,1,1,14958,ban,8
326883,14958,7511,2024-04-18,1,1,1,0,0,1,1,0,0,1,7511,ban,6
326883,14958,7511,2024-04-18,1,1,1,0,0,1,0,0,0,1,14958,pick,9
326883,14958,7511,2024-04-18,1,1,1,0,0,1,0,0,0,0,7511,pick,1
326883,14958,7511,2024-04-18,1,0,1,0,0,1,0,0,0,0,14958,ban,2
326883,14958,7511,2024-04-18,1,0,0,0,0,1,0,0,0,0,7511,ban,0
326883,14958,7511,2024-04-18,0,0,0,0,0,1,0,0,0,0,0,remaining,5
295200,5310,4572,2024-02-03,1,1,1,0,0,1,1,0,1,1,5310,ban,5
295200,5310,4572,2024-02-03,1,1,1,0,0,0,1,0,1,1,4572,ban,9
295200,5310,4572,2024-02-03,1,1,1,0,0,0,1,0,1,0,5310,pick,2
295200,5310,4572,2024-02-03,1,1,0,0,0,0,1,0,1,0,4572,pick,6
295200,5310,4572,2024-02-03,1,1,0,0,0,0,0,0,1,0,5310,ban,0
295200,5310,4572,2024-02-03,0,1,0,0,0,0,0,0,1,0,4572,ban,8
295200,5310,4572,2024-02-03,0,1,0,0,0,0,0,0,0,0,0,remaining,1
332991,14278,12255,2024-04-20,1,1,1,0,0,1,1,0,1,1,14278,ban,8
332991,14278,12255,2024-04-20,1,1,1,0,0,1,1,0,0,1,12255,ban,1
332991,14278,12255,2024-04-20,1,0,1,0,0,1,1,0,0,1,14278,pick,0
332991,14278,12255,2024-04-20,0,0,1,0,0,1,1,0,0,1,12255,pick,2
332991,14278,12255,2024-04-20,0,0,0,0,0,1,1,0,0,1,14278,ban,6
332991,14278,12255,2024-04-20,0,0,0,0,0,1,0,0,0,1,12255,ban,9
332991,14278,12255,2024-04-20,0,0,0,0,0,1,0,0,0,0,0,remaining,5
270911,7397,7682,2023-09-06,1,1,1,0,1,0,1,0,1,1,7397,ban,7
270911,7397,7682,2023-09-06,1,1,1,0,1,0,1,0,1,1,7682,ban,4
270911,7397,7682,2023-09-06,1,1,1,0,0,0,1,0,1,1,7397,pick,6
270911,7397,7682,2023-09-06,1,1,1,0,0,0,0,0,1,1,7682,pick,0
270911,7397,7682,2023-09-06,0,1,1,0,0,0,0,0,1,1,7397,ban,3
270911,7397,7682,2023-09-06,0,1,1,0,0,0,0,0,1,1,7682,ban,8
270911,7397,7682,2023-09-06,0,1,1,0,0,0,0,0,0,1,0,remaining,1
295228,13558,9077,2024-03-10,1,1,1,0,0,1,1,0,1,1,13558,ban,2
295228,13558,9077,2024-03-10,1,1,0,0,0,1,1,0,1,1,9077,ban,0
295228,13558,9077,2024-03-10,0,1,0,0,0,1,1,0,1,1,13558,pick,5
295228,13558,9077,2024-03-10,0,1,0,0,0,0,1,0,1,1,9077,pick,6
295228,13558,9077,2024-03-10,0,1,0,0,0,0,0,0,1,1,13558,ban,8
295228,13558,9077,2024-03-10,0,1,0,0,0,0,0,0,0,1,9077,ban,9
295228,13558,9077,2024-03-10,0,1,0,0,0,0,0,0,0,0,0,remaining,1
