13398,xo-esports,XO Esports,XO
14547,spirit-academy,Spirit Academy,SPRT
13683,sagaz,SAGAZ,SGZ
876,enterprise-esports,Enterprise Esports,EP
581,liberty,Liberty,LBR
4330,fancy-united-esports,Fancy United Esports,FCY
2908,thunderbolts-gaming,Thunderbolts Gaming,TBG
12355,bitfix-gaming,Bitfix Gaming,BFG
11978,geekz-energy-esports,GEEKZ ENERGY eSPORTS
12150,global-esports-phoenix,Global Esports Phoenix,GEX
4671,egn-esports,EGN Esports,EGN
12486,totts-and-friends,Totts And Friends
6200,complexity-gx3,Complexity GX3,COL
12758,vinine,VININE
15120,r8-esports,R8 Esports,R8
8904,orangutan,Orangutan,OGS
12566,nasr-ignite,NASR Ignite,NSR.I
15299,gengibre,GenGibre,GeN
2499,movistar-riders,Movistar Riders,MRS
6750,rebels-gaming,Rebels Gaming,RBLS
14263,mixup,mixup
10294,nexga,NEXGA,NXGA
6193,geekay-esports,Geekay Esports,GK
6235,incognito,Incognito,INCO
7035,koi,KOI
11245,st-clair-saints-academy,St. Clair Saints Academy,SCC.A
12514,solary,Solary,SLY
8044,mouz,MOUZ,MOUZ
14419,giantx,GIANTX,GX
11603,blx-utd,BLX UTD,BLX
10634,triple-esports-club,Triple Esports Club,3E
13278,joker,Joker
1981,dark-passage,Dark Passage,DP
11780,reveal-multigaming,Reveal Multigaming,RV
2304,giants-gaming,Giants Gaming,GIA
3478,pcific-espor,PCIFIC Espor,PCF
1124,red-canids,RED Canids,RED
13679,backoutsideboys,BackOutsideBoys,BOB
11234,mochi-fanclub,Mochi Fanclub,MFC
14691,vnd-esports,VND ESPORTS
14692,dxa-esports,DXA Esports
12270,thank-you,THANK YOU
13864,team-eclipxe,Team Eclipxe
9911,kit-sc-esports,KIT SC eSports,KIT
3956,2l8,2L8
8571,cognizant,Cognizant
10094,gmt-esports,GMT Esports,GMT
15119,giantx-gc,GIANTX GC,GX.GC
15206,t20,T20
15205,gates-of-heaven,Gates of Heaven
11594,empty-org,Empty org
14947,explo-team,Explo Team
8030,mlt-esports,MLT Esports,MLT
15061,bnb,BNB
10393,meow-meow,meow meow
