match_id,t1,t2,winner,date,0_wr_diff,1_wr_diff,2_wr_diff,3_wr_diff,4_wr_diff,5_wr_diff,6_wr_diff,7_wr_diff,8_wr_diff,9_wr_diff
271509,4210,7397,False,2023-09-16,0.4285714285714286,0.0,0,0.11111111111111116,0.31818181818181823,0.25,-0.5555555555555556,1.0,0.4285714285714286,0
314064,466,14752,True,2024-03-27,-0.33333333333333337,-0.16666666666666674,1.0,0.6,0.5,0.4848484848484849,0.42307692307692313,0.6923076923076923,-0.09523809523809523,0.33333333333333337
222696,10597,7031,False,2023-07-03,0.0235294117647058,-0.30000000000000004,0,-0.8181818181818182,0.6666666666666667,0.19999999999999996,0.22857142857142865,0.023809523809523725,0.25,0
296810,623,497,False,2024-03-01,0.050000000000000044,0.3333333333333333,0.5,-0.25,-0.3939393939393939,-0.5,0.18055555555555558,-0.33333333333333337,0.13636363636363635,0.6666666666666666
165569,4762,4572,False,2023-02-18,0,0,0,0,0,0,0,0,0,0
297001,14467,11479,False,2024-03-28,0.18181818181818177,0.0,0.0,-0.3333333333333333,-0.8461538461538461,-0.875,-0.1515151515151516,-0.7142857142857143,-0.5,0.19999999999999996
295198,6132,4572,False,2024-01-29,-0.18095238095238098,-0.6666666666666666,-0.4,-0.05769230769230771,-0.35000000000000003,-0.25,0.3333333333333333,0.13333333333333341,-0.125,-0.5
299362,6882,4173,True,2024-02-28,-0.33333333333333337,0.375,0.0,0.018181818181818188,-0.20454545454545459,0.08333333333333331,-0.1333333333333333,-0.16666666666666663,-0.045112781954887216,-0.4
328545,15074,15021,False,2024-04-10,-1.0,0.0,0.0,0,0,0.3333333333333333,-0.06666666666666671,0,-0.16666666666666669,-0.15000000000000002
314628,11058,120,False,2024-04-13,0.5384615384615384,-0.08333333333333334,0.5,-0.3333333333333333,-0.5272727272727273,0.125,0.41666666666666663,-0.25,0.32478632478632485,0.2857142857142857
184469,5448,918,True,2023-04-09,0.3333333333333333,0,0,0,-0.5,0,1.0,-0.5,0.0,0
297253,5448,6199,False,2024-02-22,-0.38888888888888884,0.5,0.25,0.14285714285714285,-0.3142857142857143,0.75,0.02857142857142858,-0.5,0.5833333333333334,0.0
296791,497,14616,True,2024-01-28,-0.1282051282051282,-1.0,0.5,0.25,0.6666666666666666,0.6666666666666666,-0.23809523809523808,1.0,-0.16666666666666669,-1.0
296802,4210,14148,True,2024-02-10,0.15000000000000002,0.5555555555555556,0.5,0.7777777777777778,-0.38888888888888884,1.0,0.24038461538461542,1.0,0.5128205128205128,-0.3333333333333333
297008,10417,7403,True,2024-04-07,1.0,-0.6666666666666667,0.75,-1.0,0.13333333333333341,0.025000000000000022,0.35714285714285715,-0.16666666666666669,0.42857142857142855,0.5714285714285714
219738,12373,1319,True,2023-06-03,0.5714285714285714,-1.0,0,-0.5,-0.19999999999999996,0.33333333333333337,0.4,0.75,0.5,0
188585,10190,6882,True,2023-05-15,-0.5,0,0,-0.6666666666666667,0.4,-0.25,-0.08333333333333337,0.0,-0.33333333333333337,0
297756,10597,8929,True,2024-01-31,-0.2222222222222222,-0.5,0.0,0,1.0,1.0,0.8333333333333334,0.8571428571428571,0.2,-1.0
285175,4733,13374,True,2023-11-09,0.8571428571428571,-0.625,0.5,0,0.0,0.0,0.6666666666666666,0.25,0.5,1.0
299629,10727,6946,True,2024-03-05,-0.09523809523809523,-0.17857142857142855,0.16666666666666669,0.047619047619047616,0.09999999999999998,0.3333333333333333,0.5833333333333334,0.6363636363636364,-0.2142857142857143,0.33333333333333337
313816,5214,6882,False,2024-04-06,-0.06999999999999995,-0.2222222222222222,-0.8,0.015151515151515138,0.0945454545454546,0.6666666666666667,0.0816993464052288,-0.09999999999999998,-0.07894736842105265,0.45454545454545453
219742,10421,9727,False,2023-06-04,-0.14285714285714285,0.0,0,-0.5714285714285714,-0.015873015873015872,0.0,-0.23809523809523808,-0.3333333333333333,0.0,0
314632,188,5248,True,2024-04-15,-0.125,-0.07142857142857145,0.3333333333333333,-0.24615384615384617,0.01428571428571429,-0.04999999999999999,0.1470588235294118,0.19444444444444442,0.11538461538461536,0.25
204045,1146,8484,True,2023-05-10,0.0,0,0,-0.6666666666666666,-0.42857142857142855,-1.0,-0.3333333333333333,-0.5,0.0,0
188570,9436,685,True,2023-04-24,0.16666666666666663,0,0,0.0,0.16666666666666669,0.16666666666666669,0.0,0.3333333333333333,0.16666666666666669,0
296799,4210,623,False,2024-02-09,0.20454545454545459,0.875,0.6666666666666666,0.7777777777777778,0.33838383838383845,1.0,0.05982905982905984,0.33333333333333337,0.34615384615384615,0.0
318929,2593,7035,True,2024-04-19,0.2222222222222222,0.5277777777777778,0.5,0.3142857142857143,0.657142857142857,0.8333333333333334,0.5595238095238095,-0.25,0.14423076923076927,-0.3333333333333333
279075,7969,6035,True,2023-10-13,-0.15384615384615385,0.5,0,0.0,-0.75,0,0.2777777777777778,0.5714285714285714,0.35,1.0
193312,11276,11238,True,2023-04-05,0.5,0,0,0.0,0.5,0.0,0.0,1.0,0,0
169008,11058,9353,True,2023-03-17,0,0,0,0.0,0.5,0,0,0,1.0,0
189034,11675,7039,True,2023-04-13,-0.5,0,0,0,0.5,-0.25,-0.6666666666666666,0.8,0.0,0
300473,724,11002,False,2024-02-22,0.045454545454545414,-0.2666666666666666,1.0,0.16666666666666669,-0.010101010101010166,0.0,-0.33333333333333337,-0.26666666666666666,0.5,0
314063,1110,14740,True,2024-03-26,0.0,0.17142857142857143,1.0,0.5714285714285714,0.45454545454545453,0.6666666666666666,0.16666666666666663,0.3333333333333333,0.5,0.09999999999999998
311888,9285,7511,False,2024-03-10,-0.9,-0.3333333333333333,0,-1.0,-1.0,-1.0,-0.05555555555555558,-0.75,-0.75,-0.8
188331,8422,8925,False,2023-04-12,-0.5714285714285714,0,0,-0.5,-0.7777777777777778,-0.6,-1.0,-0.5,-0.3333333333333333,0
184463,6199,624,True,2023-04-02,1.0,0,0,1.0,0,0.3333333333333333,-0.5,-0.5,0,0
221963,9078,7511,False,2023-07-13,-1.0,-1.0,0,-1.0,-1.0,-1.0,-0.5,-1.0,0,0
296793,4050,623,True,2024-02-02,-0.022222222222222254,0.25,0.6666666666666666,0.8,0.5367965367965368,0.4,0.033333333333333326,-0.16666666666666663,0.09999999999999998,0.4
167048,4958,9447,True,2023-02-28,0,0,0,-1.0,0,0,-1.0,0,0,0
179379,3179,3108,False,2023-03-10,-0.5,0,0,-1.0,-1.0,-1.0,-0.6666666666666666,-0.4166666666666667,0.0,0
294787,7967,10188,False,2024-02-10,0.4545454545454546,-0.28571428571428575,0.0,0.0,0.0,-0.5,0.35,0.33333333333333337,-0.17500000000000004,0.09999999999999998
297005,14467,7932,False,2024-04-06,0.25,0.5,0.6666666666666667,-0.4,-0.8181818181818182,-0.6666666666666666,-0.25,0.0,-0.8125,-0.0714285714285714
296790,6665,623,True,2024-01-27,-0.22222222222222227,0.4444444444444444,0.6,0.4,0.3426573426573427,0.25,0.07142857142857151,-0.23809523809523808,0.16666666666666663,1.0
300472,7269,15077,False,2024-02-22,0.5454545454545454,0.25,1.0,0.5714285714285714,0.5555555555555556,1.0,0.7777777777777778,0.0,0.5,0.0
296981,6400,11479,False,2024-02-02,-0.17500000000000004,0.0,-1.0,-0.3333333333333333,-0.17948717948717952,-0.8,0.2222222222222222,-0.7142857142857143,0.25,0.0
189053,188,5248,False,2023-05-24,0.0,0.0,0,0.19999999999999996,0.5,0.0,0.0,0.30000000000000004,0.4,0
325989,14469,15208,True,2024-04-12,0.5,-0.5,-1.0,0,0,-0.5714285714285714,0.4285714285714286,0,1.0,0.0
297767,3108,10597,True,2024-02-28,-0.07272727272727275,0.5,1.0,0.6666666666666666,-0.3125,0.0,-0.2571428571428571,-0.3571428571428571,0.4666666666666666,-1.0
297039,8484,8030,True,2024-02-05,-0.3166666666666667,0.3,-1.0,0.5,0.23188405797101447,1.0,0.4,0.5,-0.3333333333333333,0.6666666666666666
285173,13368,4733,False,2023-11-18,-0.8888888888888888,0.22499999999999998,-0.5714285714285714,0,0.09523809523809523,0.0,-0.16666666666666663,-0.25,-0.5,-1.0
248271,624,1184,True,2023-08-16,-0.2666666666666666,0.08333333333333337,0,0.16666666666666663,0.4444444444444444,0.0,0.009615384615384581,-0.10606060606060608,0.5333333333333333,0
276809,9284,8674,True,2023-10-05,0.5555555555555556,-0.6666666666666666,0,-0.5,-0.05454545454545451,-1.0,-0.42857142857142855,-0.9285714285714286,-0.041666666666666685,0
292523,4572,4567,True,2023-12-20,-0.31818181818181823,0.6363636363636364,0.3333333333333333,-0.12087912087912084,0.05555555555555558,-0.09999999999999998,-0.6923076923076923,0.29166666666666663,0.23809523809523808,0
167356,1034,2304,True,2023-02-17,0,0,0,0,0.0,0.0,0,0,0,0
187931,6149,4686,False,2023-03-25,-0.6666666666666666,-1.0,0,0.6666666666666667,0.0,0.0,-0.6,-1.0,-1.0,0
179443,3437,1110,True,2023-03-09,-0.5,0,0,-1.0,-0.5,-0.6666666666666666,-0.5,1.0,0,0
193898,12391,12446,True,2023-04-14,0.6666666666666666,0,0,1.0,1.0,0.0,0.0,0.75,0.0,0
233058,4538,9077,False,2023-06-26,-0.11538461538461542,0.0,0,-1.0,0.33333333333333337,-0.7777777777777778,-0.3333333333333333,1.0,0.08333333333333337,0
314310,14,8185,False,2024-04-13,-0.14379084967320266,0.12878787878787873,0.6,0.09090909090909094,-0.2714285714285714,-0.6666666666666666,0.15833333333333333,-0.4444444444444444,-0.6875,-0.5
299832,14277,11275,True,2024-03-08,0.5714285714285714,-0.5,0,-1.0,0.0,0.33333333333333337,-1.0,-0.3333333333333333,0.2727272727272727,0.0
271021,6210,8674,False,2023-09-18,0.0,1.0,0,-0.5,-0.45454545454545453,-1.0,0.16666666666666669,-0.5,0.33333333333333337,0
299825,15016,11276,False,2024-02-29,0.0,1.0,0,0.0,-0.5,0.41666666666666663,-0.3333333333333333,-0.3333333333333333,0.5,0.75
296812,4050,4210,True,2024-03-02,-0.13765182186234826,-0.6388888888888888,0.16666666666666663,0.022222222222222254,0.19841269841269837,-0.4285714285714286,-0.04201680672268904,-0.5,-0.3116883116883117,0.625
318936,397,14419,False,2024-05-01,0.6,0.5,0.16666666666666669,0.0,0.5714285714285714,0.0,-0.3333333333333333,0.0,0.5,0.41666666666666663
299759,10356,7031,False,2024-02-26,-0.75,-0.6666666666666666,0.0,-0.75,-0.6,0.16666666666666663,0.5555555555555556,-0.7692307692307693,-0.75,0.0
167361,8185,8304,True,2023-02-19,0.0,0,0,-1.0,0.0,1.0,0,0.5,-1.0,0
247079,1120,2304,True,2023-08-13,0.4285714285714286,0.5,0,0.4,0.06666666666666665,-0.5714285714285714,-0.25,-0.25,0.09523809523809523,0
297822,8929,3108,False,2024-03-07,-0.1923076923076923,-0.5,-1.0,-0.6666666666666666,-0.6875,0.0,-0.6666666666666666,-0.5,-0.6666666666666666,-0.5
214673,11232,9559,False,2023-06-07,0.5714285714285714,0.25,0,-0.5,-0.5,0.0,-0.3333333333333333,-0.5,0.19999999999999996,0
193906,8086,11348,False,2023-04-21,0.4166666666666667,0,0,-0.25,-0.4,-0.46666666666666673,-0.6666666666666666,0.75,-0.6666666666666666,0
295213,4762,4567,False,2024-02-17,-0.35714285714285715,0.25,1.0,0.5714285714285714,-0.1166666666666667,-0.19999999999999996,-0.3142857142857143,-0.125,0.0,0.35
184470,8304,8185,False,2023-04-09,-0.5,0,0,0.16666666666666663,-0.33333333333333337,-0.16666666666666663,0,-0.5,0.0,0
296747,17,624,False,2024-02-19,-0.10101010101010105,-0.75,-0.3333333333333333,-0.3333333333333333,0.06060606060606066,1.0,-0.4444444444444444,-0.6190476190476191,-0.0714285714285714,0.25
280754,13164,13805,True,2023-10-27,0,0,0,0,1.0,0,1.0,0,0,0
186044,7269,4094,True,2023-03-25,0.08333333333333337,0,0,-0.5,0.0,0.0,1.0,-1.0,0.5,0
297815,8303,6397,True,2024-03-06,-0.5,-0.75,0,0.5,0.0714285714285714,0.0,0.7142857142857143,0.625,0.4444444444444444,-0.4
202334,7269,4094,True,2023-04-26,-0.15000000000000002,0,0,0.4666666666666666,-0.5,0.0,1.0,-1.0,0.0,0
299776,15176,15052,False,2024-03-03,-0.75,-0.5,-0.6666666666666666,0,0,0.4,0.0,0,-0.25,-1.0
299757,15065,8375,False,2024-02-28,-0.16666666666666669,0.4,-1.0,-0.25,-0.6666666666666666,0.09999999999999998,0.8333333333333334,-0.8333333333333334,0.4,-0.3333333333333333
300693,1458,9545,False,2024-02-17,-0.16666666666666669,0.5,0.0,0.3333333333333333,0.6153846153846154,0,0.7,-1.0,-0.33333333333333337,0.3333333333333333
277418,13188,13801,True,2023-10-07,0.9090909090909091,0.9090909090909091,0,0.75,0.7272727272727273,0,0,0.8,0.5,0.0
299360,8826,8044,False,2024-02-27,-0.045454545454545414,-0.25,-0.06666666666666665,0.3333333333333333,-0.20915032679738554,-0.6666666666666666,-0.556390977443609,-0.30000000000000004,-0.2272727272727273,-0.25
183798,5248,6961,False,2023-04-24,-0.4166666666666667,0,0,0.16666666666666663,-1.0,-0.6666666666666666,-0.5,0.0,-0.7142857142857143,0
213130,3179,3108,True,2023-05-24,-0.6666666666666666,-1.0,0,-1.0,-0.5277777777777778,-1.0,0.1785714285714286,-0.14285714285714285,0.0,0
179376,3108,3490,True,2023-03-09,0.5,0,0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,0
183793,2355,120,False,2023-04-22,0.5,0,0,0.0,-1.0,-0.75,0.0,-1.0,-1.0,0
318848,14590,14599,True,2024-03-28,-0.5,-0.25,0.33333333333333337,0,1.0,-0.19999999999999996,0.30000000000000004,0,0.0,1.0
193560,6946,581,True,2023-04-26,0.5,0,0,0.3333333333333333,-0.6666666666666667,0,-0.5,-0.3,0.5,0
183794,5248,2406,False,2023-04-22,-0.16666666666666663,0,0,0.5,0.0,-0.5,0,0.16666666666666663,-0.5,0
284655,6665,3136,True,2023-11-24,-0.30303030303030304,-0.07142857142857145,1.0,0.06666666666666671,-0.25454545454545463,-0.08333333333333331,-0.19696969696969702,-0.07142857142857145,-0.1636363636363637,-1.0
232734,188,2355,False,2023-07-18,0.11111111111111105,-0.6666666666666666,0,0.6,0.5,0.0,0.4166666666666667,0.5238095238095237,0.8571428571428572,0
299637,15072,10727,True,2024-03-07,0.6666666666666667,0.75,-0.3333333333333333,-0.3333333333333333,-0.6,0.6666666666666667,0.19999999999999996,-1.0,0.5,-1.0
178646,10421,1412,False,2023-03-07,-1.0,0,0,0,0.0,-1.0,0,-0.6666666666666666,0.0,0
299508,6368,15119,False,2024-02-16,0.65,0.8,0,0.25,0.8421052631578947,0,0.8333333333333334,0.8571428571428571,0.9230769230769231,1.0
219744,7313,10298,True,2023-06-09,0.05555555555555558,0.0,0,0.0,-0.7272727272727273,-0.8,0.5,0,1.0,0
184465,17,278,True,2023-04-02,0,0,0,0.5,0.0,0.0,1.0,0.0,0,0
183804,2359,5248,False,2023-04-30,-0.08333333333333331,0,0,-0.6666666666666666,0.5,0.6666666666666666,0.5,0.5,0.5,0
314316,6387,5448,False,2024-04-16,0.033333333333333326,0.09999999999999998,-1.0,0.09523809523809523,0.6,0.39999999999999997,-0.09790209790209792,0.9285714285714286,-0.1785714285714286,-0.3333333333333333
299652,15021,10755,False,2024-03-27,-0.14285714285714285,-0.75,0.0,-0.5,-0.4,-1.0,0.06666666666666671,0,0.0,1.0
196145,11197,11836,False,2023-05-03,-0.16666666666666669,0,0,-0.5,-0.6666666666666666,0,-1.0,0.0,0.0,0
