match_id,t1,t2,winner,t1_ban1,t1_ban2,t2_ban1,t2_ban2,t1_pick,t2_pick,remaining,t1_mapwins,t2_mapwins,net_h2h,t1_past,t2_past,odds,date
112287,628,7397,True,3,8,5,2,1,0,4,2,1,,1,2,0.6289308176100629,2022-07-11
278903,11980,731,False,9,2,8,0,1,6,4,0,2,,4,1,0.31034482758620685,2023-10-11
159494,1120,9052,True,7,5,3,0,1,4,2,2,0,,2,-4,0.8695652173913044,2022-12-20
112735,6094,5443,False,3,2,0,8,1,5,4,1,2,-5,1,6,,2022-07-05
307567,8877,2059,True,5,8,2,1,0,9,6,2,0,-5,0,1,0.4426165295730513,2024-02-26
67357,14,106,True,3,1,4,0,5,8,2,1,0,-6,5,6,,2022-01-29
294187,10725,188,True,9,1,2,0,8,5,6,2,0,,6,-4,0.5619573796369377,2024-01-14
329911,17,8185,True,6,2,5,8,1,9,0,2,1,-1,1,5,0.4968027545499262,2024-05-05
212529,6675,12041,False,7,0,8,3,1,4,6,0,2,-1,7,8,0.37010954616588415,2023-06-02
232731,2406,2355,False,3,7,6,4,8,0,1,1,2,-2,-5,-4,0.6045276908465287,2023-07-16
99784,8572,7397,False,3,8,1,0,4,5,2,0,2,,-1,8,0.17355371900826444,2022-05-21
212536,6675,10725,True,3,1,7,0,4,6,8,2,0,1,6,3,0.759144237405107,2023-06-08
183947,474,8877,True,7,4,3,5,0,8,6,2,0,,-2,-2,0.8061383061383062,2023-04-07
235554,11328,731,False,6,7,4,8,1,3,0,0,2,,1,9,0.47146761867574055,2023-07-06
318927,2059,1184,True,1,8,2,6,5,0,9,2,1,-4,0,1,0.31893714703611914,2024-04-18
112324,624,2593,True,2,3,5,8,0,1,4,2,0,,9,9,0.3846153846153846,2022-07-17
99769,4210,7397,False,1,8,3,0,2,4,5,0,2,-3,-3,2,,2022-05-14
67332,637,14,True,3,4,5,0,8,1,2,2,0,,4,6,0.6493506493506493,2022-01-29
50147,4616,6312,True,3,1,8,2,4,0,5,2,0,-1,1,2,0.36363636363636365,2021-11-20
70291,6946,6961,False,3,2,5,4,0,1,8,0,2,,3,3,0.46649246012303336,2022-02-26
112323,533,8127,False,5,8,3,2,1,4,0,0,2,-1,6,1,0.375,2022-07-15
106449,1110,918,True,5,8,2,4,3,1,0,2,0,1,2,5,0.6535947712418301,2022-06-15
85529,6961,8127,True,8,1,2,4,0,3,5,2,1,,11,4,0.5747126436781609,2022-04-22
72367,1120,5944,True,4,5,2,8,0,1,3,2,0,2,4,2,,2022-02-26
112283,6961,2355,False,8,0,1,2,4,3,5,1,2,,12,6,0.7695852534562212,2022-07-10
247079,1120,2304,True,6,0,7,4,3,8,1,2,0,1,7,8,0.6511077287332995,2023-08-13
183792,2359,7386,True,0,4,3,6,5,7,8,2,0,3,2,-3,0.7231620718462823,2023-04-21
99707,120,533,True,4,5,3,0,1,2,8,2,0,3,5,9,0.47393364928909953,2022-05-28
297404,1184,14419,True,2,0,1,6,5,8,9,2,1,-2,2,3,0.6044999634743224,2024-02-22
186436,1211,11981,False,3,8,5,6,4,7,0,1,2,,4,1,0.5780590717299579,2023-04-02
89229,624,879,True,0,2,5,3,8,1,4,2,0,7,9,-2,0.9259259259259258,2022-05-21
353181,11058,188,True,1,8,9,4,5,0,6,2,1,2,-2,0,0.6277056277056277,2024-06-24
235569,1224,11981,True,7,6,3,0,4,1,8,2,1,2,2,2,0.6027596223674655,2023-07-04
77789,188,8127,False,1,5,2,8,4,3,0,1,2,,6,5,0.6632996632996633,2022-03-19
274409,731,12685,False,4,0,2,1,8,6,9,0,2,,-4,1,0.5669659558548448,2023-09-25
99693,2291,6675,True,1,5,2,8,0,4,3,2,1,,5,-1,0.35587188612099646,2022-05-20
84371,2593,7391,False,1,3,2,4,8,0,5,0,2,,-1,-1,0.6481481481481481,2022-04-11
204437,1120,11981,True,6,8,1,0,3,7,4,2,0,1,6,-1,0.9259259259259258,2023-05-16
297257,8185,17,False,5,8,2,9,1,6,0,0,2,2,1,4,0.6686416502084706,2024-02-24
318924,12694,2593,False,9,0,1,5,6,2,8,0,2,,0,0,0.09902597402597407,2024-04-17
314304,14,624,False,5,8,2,0,6,1,9,0,2,-8,0,0,0.1628135070758021,2024-04-07
318932,2593,1184,False,2,5,9,0,8,6,1,0,2,5,1,2,0.6360153256704981,2024-04-25
