match_id,t1,t2,correct,date,bankroll,betsize,earnings,bet_size,best_odds,worst_odds
318916,474,1184,True,2024-04-05,1929.5,50,50.0,50,0.5,0.4923857868020305
318917,397,12694,False,2024-04-05,1879.5,50,67.56756756756755,50,0.4444444444444444,0.4252873563218391
314623,1034,6961,False,2024-04-06,1829.5,50,111.11111111111114,50,0.6896551724137931,0.6666666666666666
314622,188,2359,True,2024-04-06,2011.5,50,182.00000000000006,50,0.2941176470588235,0.2155172413793103
314302,6199,8185,True,2024-04-06,2040.5,50,29.000000000000014,50,0.3670886075949368,0.3464052287581699
314301,918,5448,False,2024-04-06,1990.5,50,192.30769230769226,50,0.2481203007518797,0.2063492063492064
314303,6387,8304,True,2024-04-07,2077.0,50,86.5,50,0.6336996336996337,0.5833333333333333
314625,2,120,False,2024-04-07,2027.0,50,156.25,50,0.7575757575757576,0.7352941176470588
314304,14,624,False,2024-04-07,1977.0,50,294.11764705882376,50,0.180327868852459,0.1452991452991452
314624,11058,5248,False,2024-04-07,1927.0,50,74.62686567164181,50,0.5988023952095809,0.5617977528089888
314626,2355,2406,True,2024-04-08,1959.5,50,32.5,50,0.6329113924050632,0.6060606060606061
314305,6199,878,True,2024-04-08,2009.5,50,50.0,50,0.5,0.4871794871794871
314308,14,278,True,2024-04-09,2334.5,50,325.00000000000006,50,0.8666666666666667,0.765807962529274
318918,8877,1184,False,2024-04-10,2284.5,50,41.66666666666667,50,0.5815899581589958,0.5454545454545454
318919,2059,1001,True,2024-04-10,2409.5,50,125.0,50,0.3115264797507788,0.2857142857142857
318920,474,4915,False,2024-04-11,2359.5,50,178.57142857142858,50,0.2537313432835821,0.21875
318921,397,7035,False,2024-04-11,2309.5,50,40.0,50,0.4444444444444444,0.425531914893617
318923,8877,12694,True,2024-04-12,2324.5,50,15.0,50,0.8,0.7692307692307692
318922,2593,14419,False,2024-04-12,2274.5,50,312.50000000000017,50,0.8620689655172414,0.8333333333333334
314310,14,8185,False,2024-04-13,2224.5,50,128.2051282051283,50,0.3103448275862068,0.2805755395683452
314628,11058,120,True,2024-04-13,2268.5,50,44.0,50,0.4680851063829787,0.4382022471910112
314309,17,624,False,2024-04-13,2218.5,50,47.16981132075472,50,0.5348837209302326,0.5145631067961165
314629,2,2359,True,2024-04-13,2346.0,50,127.49999999999994,50,0.7183098591549295,0.6774193548387097
314312,6387,878,True,2024-04-14,2383.5,50,37.5,50,0.4285714285714286,0.4252873563218391
314630,2355,7386,True,2024-04-14,2434.5,50,51.000000000000014,50,0.5617977528089888,0.495049504950495
314311,6199,5448,False,2024-04-14,2384.5,50,64.93506493506494,50,0.5649717514124294,0.5617977528089888
314632,188,5248,False,2024-04-15,2334.5,50,138.88888888888886,50,0.7352941176470588,0.6756756756756757
314314,918,8304,False,2024-04-15,2284.5,50,200.0000000000001,50,0.2592592592592593,0.1999999999999999
314316,6387,5448,False,2024-04-16,2234.5,50,92.59259259259261,50,0.3710691823899371,0.3506493506493506
314315,14,878,True,2024-04-16,2267.0,50,32.5,50,0.6211180124223602,0.6060606060606061
318925,8877,4915,False,2024-04-17,2217.0,50,50.0,50,0.5283018867924529,0.5
318927,2059,1184,True,2024-04-18,2330.0,50,113.0,50,0.3311258278145695,0.3067484662576687
318926,397,1001,True,2024-04-18,2500.0,50,170.00000000000006,50,0.2358490566037735,0.2272727272727272
318928,474,14419,False,2024-04-19,2450.0,50,119.0476190476191,50,0.7042253521126761,0.6756756756756757
314318,6387,278,False,2024-04-20,2400.0,50,58.82352941176468,50,0.5405405405405405,0.5
314317,17,8185,True,2024-04-20,2489.5,50,89.49999999999997,50,0.6415770609318996,0.54337899543379
314635,188,6961,True,2024-04-20,2578.5,50,88.99999999999997,50,0.4,0.3597122302158274
314320,6199,624,False,2024-04-21,2528.5,50,37.313432835820905,50,0.4273504273504274,0.2808988764044944
314319,918,878,True,2024-04-21,2623.5,50,95.0,50,0.3623188405797102,0.3448275862068966
314637,1034,2359,False,2024-04-21,2573.5,50,39.682539682539684,50,0.5780590717299579,0.5575221238938053
314636,2355,5248,False,2024-04-21,2523.5,50,87.71929824561403,50,0.6369426751592356,0.6060606060606061
