map_id,t1,t2,winner,date,map,round_wr_diff,fk_percent_diff,acs_diff,kills_diff,assists_diff,deaths_diff,kdr_diff
70854,918,797,True,2022-02-13,4,0.12136272885603838,0.09449791329529006,0.04862815884476534,0.07456751792166601,-0.0009005564759355878,-0.09113461620152075,0.06771527867432399
70855,918,797,True,2022-02-13,2,0.08638233075751756,0.08073261324339326,0.0766723295816522,0.06577990121942652,-0.025695541419402623,-0.06615150350794803,0.05233660576164612
25683,617,624,False,2021-04-17,8,-0.3556034482758621,-0.24784482758620685,-0.14194945848375448,-0.16980146290491122,-0.03103448275862073,0.14568965517241378,-0.11796786508369343
25684,617,624,True,2021-04-17,1,-0.32765151515151514,-0.17234848484848486,-0.039711191335740074,-0.09550045913682279,0.07575757575757577,0.12803030303030302,-0.07851239669421486
25685,617,624,False,2021-04-17,5,-0.3839285714285714,-0.35416666666666663,-0.15667870036101095,-0.20634920634920634,-0.061904761904761865,0.2345238095238095,-0.1853061405847329
56120,4663,4915,True,2021-11-04,4,-0.14117151285292878,-0.07248209018120527,-0.042310469314079314,-0.05851817798720454,-0.19233038348082596,0.11858407079646013,-0.08036025277404588
59997,918,6940,True,2021-12-17,0,0.5657015590200446,0.5077951002227171,0.7614079422382671,0.7264628467301074,0.5140311804008909,0.6703786191536748,0.31676230745998185
59998,918,6940,True,2021-12-17,2,0.5178571428571429,0.5297619047619048,0.7336255801959773,0.7063943001443002,0.44761904761904764,0.6851190476190476,0.30138483005555117
38788,2355,4982,True,2021-06-29,8,0.6506024096385542,0.6144578313253012,0.7989891696750903,0.780759401241329,0.5108433734939759,0.5445783132530121,0.4190801823545186
93422,7386,1610,True,2022-08-26,3,0.5259259259259259,0.5259259259259259,0.7350180505415163,0.6988776655443323,0.5659259259259259,0.6637037037037037,0.30779897186147187
93423,7386,1610,True,2022-08-26,0,0.5528455284552846,0.540650406504065,0.7454873646209387,0.719019462921902,0.5853658536585366,0.6626016260162602,0.31719650492656626
45532,188,642,False,2021-07-25,0,0.15962498478022652,0.14391817849750393,0.07848375451263541,0.09043866154544344,0.06311944478266165,-0.07449165956410572,0.06705251270468662
45533,188,642,False,2021-07-25,5,0.207539249433297,0.15338762488456054,0.12160907684373377,0.1292019345499322,0.0218621442364201,-0.09685164973553854,0.09537743460898163
40877,420,2406,True,2021-07-10,1,0.07758620689655171,0.0431034482758621,-0.007608997500694135,0.010527690700104526,-0.014482758620689661,-0.09655172413793105,0.05767391302032241
40878,420,2406,False,2021-07-10,4,-0.2936117936117936,-0.2481572481572481,-0.1931407942238267,-0.24463926736654015,-0.115970515970516,0.16511056511056516,-0.15051517793453276
40879,420,2406,True,2021-07-10,5,-0.16630434782608694,-0.011956521739130421,-0.016787003610108223,-0.06551383399209482,-0.08695652173913046,0.05695652173913048,-0.04596987454526255
58673,533,5248,False,2021-11-30,8,-0.053349875930521096,0.014135058489897268,-0.04768953068592071,-0.052737920681469014,-0.027871322226160976,-0.004010102800425397,-0.02078550171999151
58674,533,5248,True,2021-11-30,4,0.010342434675848056,0.052125870766274285,-0.016281588447653397,-0.01673614194632692,0.06879654095604133,-0.03983238583286628,0.008943433347020907
58675,533,5248,True,2021-11-30,0,-0.11489321489321486,-0.04032319032319032,-0.04197571381686884,-0.05351798079070814,0.0334303534303535,0.0814571914571915,-0.06064045188575452
28197,3303,628,False,2021-04-01,1,-0.6666666666666666,-0.6666666666666666,-0.8191335740072202,-0.803030303030303,-0.6153846153846154,-0.5641025641025641,-0.4161157024793389
28198,3303,628,False,2021-04-01,5,-0.7428571428571429,-0.6357142857142857,-0.8616425992779784,-0.8469696969696969,-0.6571428571428571,-0.5242857142857142,-0.4722153414251507
156099,474,7035,False,2024-02-25,9,-0.22910295616717635,-0.03950050968399593,-0.07277978339350179,-0.11459781299230837,-0.10356778797145774,0.21743119266055047,-0.10681524021577786
