match_id,t1,t2,date,map,winner,played,net_h2h,past_diff,odds,avg_win%,avg_pick%,avg_ban%,avg_play%
51272,2355,474,2021-12-02,8,False,True,-2.0,-6,0.0778514363420024,0.7073863636363636,0.0,0.0,0.0
51272,2355,474,2021-12-02,1,False,False,-2.0,-6,0.0778514363420024,0.5333333333333333,0.0,0.0,0.0
51272,2355,474,2021-12-02,4,False,True,-2.0,-6,0.0778514363420024,0.5961538461538461,0.0,0.0,0.0
51272,2355,474,2021-12-02,2,False,False,-2.0,-6,0.0778514363420024,0.5416666666666667,0.0,0.0,0.0
51272,2355,474,2021-12-02,5,False,False,-2.0,-6,0.0778514363420024,0.746031746031746,0.0,0.0,0.0
51272,2355,474,2021-12-02,3,False,False,-2.0,-6,0.0778514363420024,0.5,0.0,0.0,0.0
51273,2,2406,2021-12-02,2,True,True,0.0,-7,0.9709653092006032,0.21428571428571427,0.0,0.0,0.0
51273,2,2406,2021-12-02,1,True,False,0.0,-7,0.9709653092006032,0.696969696969697,0.0,0.0,0.0
51273,2,2406,2021-12-02,0,True,True,0.0,-7,0.9709653092006032,0.42500000000000004,0.0,0.0,0.0
51273,2,2406,2021-12-02,4,True,True,0.0,-7,0.9709653092006032,0.5409090909090909,0.0,0.0,0.0
51273,2,2406,2021-12-02,5,True,False,0.0,-7,0.9709653092006032,0.6688034188034189,0.0,0.0,0.0
51273,2,2406,2021-12-02,8,True,False,0.0,-7,0.9709653092006032,0.6015037593984962,0.0,0.0,0.0
51274,474,2,2021-12-04,5,True,False,0.0,9,0.54749970163504,0.7182539682539683,0.0,0.0,1.0
51274,474,2,2021-12-04,1,True,True,0.0,9,0.54749970163504,0.5636363636363637,0.0,0.0,0.0
51274,474,2,2021-12-04,3,True,False,0.0,9,0.54749970163504,0.5,0.0,0.0,0.0
51274,474,2,2021-12-04,8,True,True,0.0,9,0.54749970163504,0.6595394736842105,0.0,0.0,0.0
51274,474,2,2021-12-04,0,True,False,0.0,9,0.54749970163504,0.5022727272727273,0.0,1.0,0.0
51274,474,2,2021-12-04,2,True,True,0.0,9,0.54749970163504,0.4791666666666667,0.5,0.5,0.5
51274,474,2,2021-12-04,4,True,False,0.0,9,0.54749970163504,0.725,0.5,1.0,0.0
51275,2355,2406,2021-12-05,1,True,False,0.0,-5,0.5349462365591398,0.6666666666666666,0.0,0.0,1.0
51275,2355,2406,2021-12-05,4,True,True,0.0,-5,0.5349462365591398,0.44642857142857145,0.0,1.0,0.0
51275,2355,2406,2021-12-05,8,True,False,0.0,-5,0.5349462365591398,0.6493506493506493,0.0,0.0,0.0
51275,2355,2406,2021-12-05,2,True,False,0.0,-5,0.5349462365591398,0.25,0.0,0.5,0.0
51275,2355,2406,2021-12-05,0,True,True,0.0,-5,0.5349462365591398,0.6,1.0,1.0,0.0
51275,2355,2406,2021-12-05,5,True,False,0.0,-5,0.5349462365591398,0.6965811965811965,0.0,0.0,0.0
51275,2355,2406,2021-12-05,3,True,True,0.0,-5,0.5349462365591398,0.0,0.0,0.0,1.0
51276,2,2355,2021-12-06,5,False,False,0.0,-4,0.8220831753254962,0.75,0.0,0.0,0.5
51276,2,2355,2021-12-06,1,False,False,0.0,-4,0.8220831753254962,0.6666666666666666,0.25,0.25,0.5
51276,2,2355,2021-12-06,0,False,False,0.0,-4,0.8220831753254962,0.6096256684491979,0.5,0.75,0.25
51276,2,2355,2021-12-06,4,False,True,0.0,-4,0.8220831753254962,0.8083333333333333,0.0,0.75,0.0
51276,2,2355,2021-12-06,8,False,True,0.0,-4,0.8220831753254962,0.6886363636363637,0.0,0.0,0.0
51276,2,2355,2021-12-06,2,False,False,0.0,-4,0.8220831753254962,0.4722222222222222,0.25,0.5,0.0
51276,2,2355,2021-12-06,3,False,True,0.0,-4,0.8220831753254962,0.0,0.0,0.25,0.25
51277,682,6199,2021-12-02,0,True,False,0.0,4,0.9804863981543784,0.6875,0.0,0.0,0.0
51277,682,6199,2021-12-02,8,True,False,0.0,4,0.9804863981543784,0.25,0.0,0.0,0.0
51277,682,6199,2021-12-02,2,True,True,0.0,4,0.9804863981543784,0.75,0.0,0.0,0.0
51277,682,6199,2021-12-02,1,True,True,0.0,4,0.9804863981543784,0.7222222222222222,0.0,0.0,0.0
51277,682,6199,2021-12-02,5,True,True,0.0,4,0.9804863981543784,0.6547619047619048,0.0,0.0,0.0
51277,682,6199,2021-12-02,4,True,False,0.0,4,0.9804863981543784,0.16666666666666666,0.0,0.0,0.0
51280,6199,277,2021-12-05,2,True,False,0.0,3,0.7018321513002364,0.5833333333333333,0.5,0.5,0.0
51280,6199,277,2021-12-05,5,True,False,0.0,3,0.7018321513002364,0.5833333333333333,0.0,0.5,0.0
51280,6199,277,2021-12-05,4,True,True,0.0,3,0.7018321513002364,0.3333333333333333,0.0,0.0,0.5
51280,6199,277,2021-12-05,3,True,True,0.0,3,0.7018321513002364,0.0,0.0,0.0,0.5
51280,6199,277,2021-12-05,0,True,False,0.0,3,0.7018321513002364,0.6666666666666666,0.0,0.0,0.0
51280,6199,277,2021-12-05,1,True,False,0.0,3,0.7018321513002364,0.5,0.0,0.5,0.0
51281,420,6199,2021-12-07,3,False,False,0.0,2,0.5157781468572364,0.0,0.0,0.25,0.25
51281,420,6199,2021-12-07,8,False,False,0.0,2,0.5157781468572364,0.25,0.0,0.0,0.0
51281,420,6199,2021-12-07,0,False,True,0.0,2,0.5157781468572364,0.75,0.0,0.0,0.25
51281,420,6199,2021-12-07,2,False,False,0.0,2,0.5157781468572364,0.3333333333333333,0.25,0.25,0.25
51281,420,6199,2021-12-07,1,False,False,0.0,2,0.5157781468572364,0.6666666666666666,0.0,0.25,0.0
51281,420,6199,2021-12-07,4,False,True,0.0,2,0.5157781468572364,0.38095238095238093,0.25,0.25,0.25
51281,420,6199,2021-12-07,5,False,True,0.0,2,0.5157781468572364,0.625,0.0,0.25,0.0
51282,198,4050,2021-12-01,1,True,False,0.0,0,0.87492391965916,0.7083333333333333,0.0,0.0,0.0
51282,198,4050,2021-12-01,4,True,True,0.0,0,0.87492391965916,0.75,0.0,0.0,0.0
51282,198,4050,2021-12-01,0,True,False,0.0,0,0.87492391965916,0.7136363636363636,0.0,0.0,0.0
51282,198,4050,2021-12-01,5,True,True,0.0,0,0.87492391965916,0.5138888888888888,0.0,0.0,0.0
51282,198,4050,2021-12-01,8,True,False,0.0,0,0.87492391965916,0.6474358974358975,0.0,0.0,0.0
51282,198,4050,2021-12-01,2,True,True,0.0,0,0.87492391965916,0.8,0.0,0.0,0.0
51283,2593,188,2021-12-01,4,True,False,0.0,-8,0.4577759197324414,0.625,0.0,0.0,0.0
51283,2593,188,2021-12-01,5,True,True,0.0,-8,0.4577759197324414,0.6499999999999999,0.0,0.0,0.0
51283,2593,188,2021-12-01,1,True,False,0.0,-8,0.4577759197324414,0.5166666666666666,0.0,0.0,0.0
51283,2593,188,2021-12-01,2,True,False,0.0,-8,0.4577759197324414,0.55,0.0,0.0,0.0
51283,2593,188,2021-12-01,8,True,True,0.0,-8,0.4577759197324414,0.6682692307692308,0.0,0.0,0.0
51283,2593,188,2021-12-01,3,True,True,0.0,-8,0.4577759197324414,0.5,0.0,0.0,0.0
51283,2593,188,2021-12-01,0,True,False,0.0,-8,0.4577759197324414,0.6424148606811146,0.0,0.0,0.0
51284,198,2593,2021-12-03,4,False,True,0.0,7,0.525682814431831,0.825,0.5,0.5,0.5
51284,198,2593,2021-12-03,5,False,True,0.0,7,0.525682814431831,0.6888888888888889,0.0,1.0,0.0
51284,198,2593,2021-12-03,3,False,True,0.0,7,0.525682814431831,0.5,0.0,0.5,0.5
51284,198,2593,2021-12-03,1,False,False,0.0,7,0.525682814431831,0.6833333333333333,0.0,0.0,0.5
51284,198,2593,2021-12-03,2,False,False,0.0,7,0.525682814431831,0.8,0.0,0.5,0.0
51284,198,2593,2021-12-03,0,False,False,0.0,7,0.525682814431831,0.7165775401069518,0.0,0.0,0.5
51286,198,188,2021-12-07,2,False,True,0.0,-3,0.5531350370060047,0.7272727272727273,0.0,0.25,0.5
51286,198,188,2021-12-07,4,False,False,0.0,-3,0.5531350370060047,0.8,0.5,0.5,0.0
51286,198,188,2021-12-07,3,False,False,0.0,-3,0.5531350370060047,0.5,0.0,0.75,0.25
51286,198,188,2021-12-07,0,False,True,0.0,-3,0.5531350370060047,0.65311004784689,0.0,0.0,0.25
51286,198,188,2021-12-07,1,False,False,0.0,-3,0.5531350370060047,0.5,0.0,0.0,1.0
51286,198,188,2021-12-07,8,False,True,0.0,-3,0.5531350370060047,0.6166666666666667,0.0,0.0,0.0
51286,198,188,2021-12-07,5,False,False,0.0,-3,0.5531350370060047,0.725,0.5,1.0,0.0
51290,3531,6199,2021-12-08,3,True,False,0.0,5,0.6767842493847416,0.0,0.125,0.29166666666666663,0.5416666666666666
51290,3531,6199,2021-12-08,5,True,True,0.0,5,0.6767842493847416,0.5055555555555555,0.125,0.7083333333333333,0.0
51290,3531,6199,2021-12-08,8,True,True,0.0,5,0.6767842493847416,0.5833333333333333,0.0,0.0,0.0
51290,3531,6199,2021-12-08,0,True,False,0.0,5,0.6767842493847416,0.775,0.125,0.5416666666666666,0.29166666666666663
51290,3531,6199,2021-12-08,1,True,False,0.0,5,0.6767842493847416,0.9,0.125,0.5416666666666666,0.16666666666666666
51290,3531,6199,2021-12-08,2,True,True,0.0,5,0.6767842493847416,0.7333333333333334,0.16666666666666666,0.29166666666666663,0.5833333333333333
51290,3531,6199,2021-12-08,4,True,False,0.0,5,0.6767842493847416,0.5125,0.3333333333333333,0.3333333333333333,0.29166666666666663
51291,474,188,2021-12-08,5,True,False,0.0,3,0.756019627981285,0.7321428571428572,0.25,0.25,0.25
51291,474,188,2021-12-08,2,True,True,0.0,3,0.756019627981285,0.5160256410256411,0.25,0.5,0.5
51291,474,188,2021-12-08,1,True,True,0.0,3,0.756019627981285,0.3666666666666667,0.0,0.25,0.5
51291,474,188,2021-12-08,3,True,False,0.0,3,0.756019627981285,1.0,0.0,0.25,0.25
51291,474,188,2021-12-08,4,True,False,0.0,3,0.756019627981285,0.55,0.25,0.25,0.5
51291,474,188,2021-12-08,0,True,True,0.0,3,0.756019627981285,0.55,0.25,0.5,0.0
51291,474,188,2021-12-08,8,True,False,0.0,3,0.756019627981285,0.5716911764705883,0.0,0.0,0.0
51292,682,2112,2021-12-09,0,True,True,0.0,0,0.793353323338331,0.5992647058823529,0.0,0.16666666666666666,0.6666666666666666
51292,682,2112,2021-12-09,2,True,True,0.0,0,0.793353323338331,0.75,0.16666666666666666,0.8333333333333333,0.0
51292,682,2112,2021-12-09,4,True,False,0.0,0,0.793353323338331,0.25,0.16666666666666666,0.5,0.0
51292,682,2112,2021-12-09,5,True,False,0.0,0,0.793353323338331,0.5916666666666667,0.6666666666666666,0.8333333333333333,0.0
51292,682,2112,2021-12-09,1,True,False,0.0,0,0.793353323338331,0.5,0.0,0.5,0.5
51292,682,2112,2021-12-09,8,True,False,0.0,0,0.793353323338331,0.5,0.0,0.0,0.0
51293,2593,2355,2021-12-09,3,False,False,2.0,-4,0.6992474402112956,0.5833333333333333,0.16666666666666666,0.8333333333333333,0.16666666666666666
51293,2593,2355,2021-12-09,1,False,False,2.0,-4,0.6992474402112956,0.6833333333333333,0.0,0.0,0.5
51293,2593,2355,2021-12-09,0,False,False,2.0,-4,0.6992474402112956,0.7352941176470589,0.3333333333333333,0.3333333333333333,0.25
51293,2593,2355,2021-12-09,2,False,False,2.0,-4,0.6992474402112956,0.55,0.0,0.0,0.41666666666666663
51293,2593,2355,2021-12-09,5,False,True,2.0,-4,0.6992474402112956,0.663888888888889,0.25,0.5,0.0
51293,2593,2355,2021-12-09,4,False,True,2.0,-4,0.6992474402112956,0.6375,0.0,0.75,0.25
51293,2593,2355,2021-12-09,8,False,True,2.0,-4,0.6992474402112956,0.7222222222222222,0.0,0.0,0.0
51294,3531,474,2021-12-11,3,True,False,-2.0,-3,0.3690087145969498,0.5,0.1,0.1,0.7333333333333334
51294,3531,474,2021-12-11,1,True,True,-2.0,-3,0.3690087145969498,0.625,0.1,0.6333333333333333,0.1
51294,3531,474,2021-12-11,8,True,True,-2.0,-3,0.3690087145969498,0.6862745098039216,0.0,0.0,0.0
51294,3531,474,2021-12-11,5,True,False,-2.0,-3,0.3690087145969498,0.6729323308270676,0.2,0.4,0.16666666666666666
51294,3531,474,2021-12-11,4,True,False,-2.0,-3,0.3690087145969498,0.575,0.16666666666666666,0.16666666666666666,0.43333333333333335
51294,3531,474,2021-12-11,2,True,False,-2.0,-3,0.3690087145969498,0.7167832167832169,0.16666666666666666,0.5333333333333333,0.3666666666666667
51294,3531,474,2021-12-11,0,True,True,-2.0,-3,0.3690087145969498,0.575,0.26666666666666666,0.6333333333333333,0.1
51295,682,2355,2021-12-11,5,True,False,0.0,-1,0.7095410628019324,0.7,0.375,0.375,0.0
51295,682,2355,2021-12-11,4,True,False,0.0,-1,0.7095410628019324,0.29411764705882354,0.0,0.5,0.0
