map_id,t1,t2,winner,map,date,round_wr_diff,fk_percent_diff,acs_diff,kills_diff,assists_diff,deaths_diff,kdr_diff,kadr_diff
57953,2593,188,2593,3,2021-12-01,0.17788461538461542,0.17788461538461542,0.055306859205776146,0.125,-0.11730769230769234,-0.16730769230769232,0.2109018534252179,0.173712385745096
30238,2059,1533,2059,8,2021-04-11,0.449438202247191,0.5393258426966292,0.7626353790613718,0.7082056520258767,0.5258426966292136,0.7258426966292135,0.28520499108734404,0.30106658047834517
30239,2059,1533,2059,5,2021-04-11,0.6435643564356436,0.594059405940594,0.8469314079422382,0.8132313231323133,0.5306930693069307,0.601980198019802,0.3948863636363636,0.4033310439560439
77017,8185,5448,8185,5,2022-04-10,-0.5772058823529411,-0.3463235294117647,-0.21935018050541513,-0.25939171122994664,-0.08235294117647056,0.37602941176470595,-0.2657222914072229,-0.27376066615432154
77018,8185,5448,8185,4,2022-04-10,0.15257985257985263,0.14398034398034398,0.05505415162454884,0.07510982056436606,0.2262407862407862,-0.09852579852579853,0.10169375013596119,0.14101819931683535
128327,11985,11981,11981,6,2023-05-14,0.05065318162663296,0.025453013063632512,0.0301805054151624,0.0287361605945676,0.02868942267172354,0.010855457227138654,0.00742620752634103,0.008790959898388845
128328,11985,11981,11981,8,2023-05-14,0.15612648221343867,0.15612648221343867,0.11696750902527067,0.13176727751826564,0.025691699604743067,-0.09426877470355732,0.08979796051756347,0.08599525116990282
93485,337,120,337,4,2022-08-07,0.0703764320785597,0.02991452991452992,0.026859205776173175,0.04360985743964464,0.0005819239861792446,-0.06057464993635202,0.04308773872811294,0.04089403009296866
93486,337,120,120,2,2022-08-07,-0.02526237577783963,0.02117581499024801,-0.01877256317689547,-0.008835921207055212,-0.18051453515371038,-0.019634067056747462,0.006390809587132208,-0.02318167961708504
93487,337,120,337,0,2022-08-07,0.12452107279693492,0.08014048531289913,0.07075812274368229,0.07358063392546148,0.02043422733077902,-0.07318007662835244,0.0646754709254709,0.06439326087763586
162332,1120,624,624,9,2024-03-15,-0.007843137254901933,-0.002450980392156854,0.01862815884476533,0.02037284610814033,-0.19941176470588234,-0.010980392156862705,0.0152556247718145,-0.020736276148550236
162333,1120,624,1120,1,2024-03-15,0.14556192461351397,0.11698801459093283,0.0671480144404332,0.09576483964185888,-0.09286086503387185,-0.05440333507034918,0.06073417199422559,0.0393886017055743
162334,1120,624,1120,8,2024-03-15,-0.07299721620785649,-0.06681101144447882,-0.0374007220216607,-0.03490987824424264,0.016269718527683264,0.009836065573770458,-0.018622886547414855,-0.01305856142823828
38205,719,2596,719,0,2021-06-24,0.5535714285714286,0.45089285714285715,0.3201444043321301,0.36111111111111116,0.24226190476190473,-0.3095238095238096,0.22635445362718087,0.24224706214837788
38206,719,2596,719,5,2021-06-24,0.5383275261324042,0.4547038327526132,0.3536101083032492,0.39153732446415374,0.2982578397212544,-0.3696864111498258,0.27844987593536913,0.30575647756498814
90562,8127,6961,6961,0,2022-07-12,-0.10636442894507403,0.022522522522522515,-0.07032490974729248,-0.07676151224538322,-0.1333333333333334,0.0696309212438245,-0.06993006993006988,-0.08798721521393588
90563,8127,6961,8127,3,2022-07-12,0.059925093632958726,0.09034161843150601,0.03148014440433223,0.03831642953195557,0.012438996708659644,-0.013732833957553047,0.025341814733077166,0.023809040530393368
90564,8127,6961,8127,8,2022-07-12,-0.04201858108108103,-0.0513091216216216,-0.036245487364621014,-0.030152666871416853,-0.09011824324324325,0.044256756756756756,-0.03454435493205549,-0.04844944970995391
54571,4616,3531,3531,3,2021-10-26,0.19317394317394315,0.09762647262647267,0.13487364620938622,0.14525320775320782,0.12165627165627164,-0.12863825363825362,0.1186270123693935,0.12717793177971962
54572,4616,3531,3531,5,2021-10-26,0.07818654775176515,0.1035302861389818,0.016028880866425985,0.031225296442687737,-0.04313638052768489,-0.08484578223708664,0.052803499214034495,0.043960312859388305
75531,2359,2355,2355,2,2022-03-28,0.21650114591291064,0.17509549274255154,0.09783393501805052,0.13097205824478547,0.2003361344537815,-0.14533231474407948,0.1418718959018777,0.16753416877295693
75532,2359,2355,2359,4,2022-03-28,-0.06842650103519676,-0.008695652173913104,-0.05949458483754519,-0.06133383524687863,0.004596273291925445,-0.04105590062111801,-0.003910630524690781,0.005118370049708446
75533,2359,2355,2359,0,2022-03-28,0.25592105263157894,0.17039473684210532,0.1524909747292418,0.1901016746411483,0.29605263157894735,-0.15776315789473686,0.15987844547166577,0.19805185798694627
75534,2359,2355,2355,3,2022-03-28,0.20113717128642505,0.20398009950248752,0.08038507821901328,0.1135340612952553,0.05913290689410093,-0.2142146410803128,0.15319130022519856,0.1591637176382939
76251,2359,2355,2355,8,2022-03-28,-0.1965116279069768,0.026511627906976698,-0.09527075812274373,-0.12912966878083162,-0.11106976744186045,0.06967441860465114,-0.089169079328315,-0.09782232099111075
87676,5443,1120,5443,1,2022-06-10,0.1042699724517907,-0.028787878787878696,0.0756197352587246,0.08795809332999413,0.16093663911845732,-0.009366391184572987,0.042858042527969195,0.06117329186705715
87677,5443,1120,1120,0,2022-06-10,0.05655095184770442,-0.1614408361328854,0.030709987966305634,0.04179816077912376,0.075177304964539,-0.009593131765584139,0.024419016487284048,0.03358828688405847
87678,5443,1120,5443,4,2022-06-10,-0.035199622017481724,-0.033782187573824785,-0.054440433212996436,-0.05048715360550939,-0.02088353413654618,0.023080557524214472,-0.03791336563123402,-0.03679864962623586
87679,5443,1120,1120,8,2022-06-10,-0.16188769414575865,0.01971326164874554,-0.07552346570397117,-0.10519170196589549,0.12640382317801677,0.12210274790919948,-0.11997817042043674,-0.08964315925527977
87680,5443,1120,1120,5,2022-06-10,-0.015368309485956577,-0.06677265500794916,-0.025270758122743476,-0.039926289926289826,0.034128245892951714,-0.005882352941176538,-0.014559015449223188,-0.0048006969371954525
65245,2139,14,14,8,2022-01-17,-0.1077777777777778,-0.06333333333333335,-0.0225270758122744,-0.049898989898989915,-0.04844444444444447,0.13199999999999995,-0.07524287460593192,-0.08014785248275025
65494,397,2908,397,3,2022-01-20,0.04987932421560737,0.008223831232680834,0.014151624548736417,0.04641209629142056,-0.1931885223920622,-0.06276928577813531,0.047186334002603296,0.012542314119768938
65495,397,2908,397,0,2022-01-20,0.1437074829931973,0.05187074829931976,0.03870036101083022,0.09379509379509382,-0.19931972789115654,-0.11377551020408161,0.08194399189022844,0.048741580999645505
137380,2593,5448,2593,3,2023-08-08,-0.027759740259740262,0.00827922077922072,-0.03234657039711184,-0.011319362455726132,-0.007402597402597433,0.0011038961038961404,-0.005754918231640756,-0.005921882157378529
137381,2593,5448,2593,4,2023-08-08,0.11477066073954328,0.032531824611032545,0.05299638989169667,0.06539123300085106,0.07350979995958777,-0.10396039603960397,0.08213397107559423,0.09361875157861328
26874,628,2059,628,8,2021-04-07,0.2873134328358209,0.05884041331802525,0.08616125150421182,0.11476707372229755,0.23616532721010328,-0.17238805970149257,0.15309002292473367,0.19147548255939859
26875,628,2059,628,4,2021-04-07,0.07824675324675323,0.006818181818181834,0.025030084235860627,0.056724714679260144,0.062207792207792156,-0.05331168831168833,0.06931459747333693,0.0764175796690699
97937,9052,1837,1837,0,2022-09-28,-0.1627140974967062,0.0731225296442688,-0.0814079422382672,-0.08589851079969657,-0.2287220026350461,0.09433465085639003,-0.057149682149682135,-0.08548835334549619
163257,8304,878,8304,6,2024-06-22,-0.07196495619524401,-0.07926574885273252,-0.07913357400722007,-0.06339679650067635,-0.06257822277847316,0.02816020025031287,-0.03889930878613392,-0.043474415604431306
163258,8304,878,878,0,2024-06-22,0.01676923076923076,0.06961538461538458,-0.009963898916967476,-0.02986363636363634,-0.08104615384615385,-0.049153846153846194,0.0065653892849360145,-0.001267706237665448
163259,8304,878,8304,5,2024-06-22,-0.04524110529167419,0.08199385949069887,-0.0619494584837545,-0.06614866380985225,-0.07216904460899398,0.016669676720245618,-0.03426243890820979,-0.03958726371727533
52852,2304,2499,2304,5,2021-10-19,0.3286052009456265,0.19030732860520094,0.17083032490974726,0.25051937817895265,0.05153664302600465,-0.27281323877068553,0.18524882976102486,0.1776963280621817
52853,2304,2499,2304,4,2021-10-19,0.1956917475728155,0.27002427184466016,0.0997352587244285,0.13526726610767875,-0.016565533980582536,-0.14283980582524275,0.11170511772921411,0.09737970721189307
130941,2304,1184,1184,4,2023-05-23,-0.02507662301476743,0.22346057397603786,0.019205776173285175,0.014086251199653338,0.02392495588371881,-0.05581870530324142,0.032637853949329367,0.03762231082118919
130942,2304,1184,1184,0,2023-05-23,0.04391891891891897,-0.014921171171171144,0.011985559566786978,0.022680350805350795,0.06272522522522524,-0.058277027027027015,0.03753256763557375,0.04906176438654889
98508,1001,6750,1001,0,2022-11-12,0.14356435643564358,0.08010801080108015,0.03566787003610117,0.053851976106701525,0.15436543654365434,-0.1387938793879388,0.09811253561253565,0.12713308326289097
98509,1001,6750,1001,4,2022-11-12,0.04174928398325617,-0.02831020048468824,0.010938628158844667,0.02495209864674505,-0.0023353161489315434,-0.00229125358008373,0.013155410503412774,0.010171580012344314
98510,1001,6750,1001,2,2022-11-12,-0.01938997821350763,0.006644880174291934,-0.05942238267148017,-0.05902653990889282,0.025620915032679735,0.025904139433551254,-0.03483891575423331,-0.02539608141369391
50586,4855,6387,6387,1,2021-10-07,-0.17432950191570884,0.1915708812260537,-0.10000000000000006,-0.09886218506908168,-0.15325670498084296,0.13793103448275862,-0.18348493224115112,-0.21071838609152047
50587,4855,6387,4855,0,2021-10-07,-0.06153846153846154,-0.25384615384615383,-0.09494584837545131,-0.09502164502164503,-0.4918681318681319,0.08131868131868139,-0.07455121870882739,-0.14750507644529384
50588,4855,6387,6387,8,2021-10-07,-0.14574898785425106,-0.15587044534412958,-0.06353790613718409,-0.10207336523125989,-0.24129554655870447,0.18825910931174095,-0.14962305411634338,-0.18235912113562378
58303,5248,6796,5248,0,2021-11-26,0.6363636363636364,0.6262626262626263,0.8160288808664259,0.7938475665748393,0.44848484848484843,0.5959595959595959,0.38936825885978427,0.3847085118271559
