match_id,t1,t2,t1_ban1,t1_ban2,t2_ban1,t2_ban2,t1_pick,t2_pick,remaining,t1_mapwins,t2_mapwins,net_h2h,t1_past,t2_past,date
184476,8304,918,7,6,3,0,5,8,4,0,2,,-4.0,-7.0,2023-04-17
183945,4915,397,4,5,7,6,3,0,8,2,0,-1.0,0.0,-4.0,2023-04-06
173219,8877,397,0,4,7,3,8,5,6,2,0,,-2.0,-5.0,2023-03-29
295606,188,7386,5,9,0,2,8,1,6,2,1,2.0,-7.0,4.0,2024-02-16
183781,1034,2,4,0,8,3,6,5,7,2,0,-2.0,-2.0,-2.0,2023-04-09
318928,474,14419,8,9,2,1,6,5,0,2,1,1.0,-4.0,-3.0,2024-04-19
289452,918,2406,8,0,1,6,2,9,4,2,1,,-6.0,-2.0,2023-12-16
185983,337,11058,3,5,8,7,4,0,6,0,2,-1.0,-4.0,2.0,2023-03-28
213193,2304,1184,1,8,3,7,4,0,6,0,2,4.0,2.0,-2.0,2023-05-23
314318,6387,278,1,2,5,9,8,6,0,2,1,1.0,-7.0,-6.0,2024-04-20
167354,1001,5248,6,3,5,8,7,0,4,0,2,,-5.0,1.0,2023-02-15
220441,624,8185,6,0,4,7,8,1,3,2,0,-2.0,9.0,1.0,2023-06-17
184499,14,8185,8,4,6,3,1,7,0,0,2,,4.0,4.0,2023-05-15
183805,6961,2355,6,4,3,1,0,7,8,2,1,-1.0,6.0,-7.0,2023-05-01
184054,8877,2593,1,0,7,8,6,4,3,0,2,,-7.0,10.0,2023-05-11
314330,17,878,9,6,5,1,2,0,8,1,2,5.0,4.0,-2.0,2024-04-29
184477,624,918,3,6,4,0,8,5,7,2,1,3.0,-1.0,-3.0,2023-04-22
189057,2406,1034,6,7,0,3,4,1,8,0,2,-1.0,-4.0,6.0,2023-05-25
235018,12694,6149,7,3,1,4,6,8,0,2,0,,5.0,1.0,2023-07-01
289451,1184,17,2,8,9,1,0,4,6,2,1,,1.0,-1.0,2023-12-16
318919,2059,1001,6,1,0,8,2,9,5,2,1,6.0,-3.0,0.0,2024-04-10
289450,2406,2059,1,8,9,4,6,2,0,0,2,,1.0,1.0,2023-12-15
184491,6199,14,4,8,7,0,1,6,3,0,2,,-2.0,1.0,2023-05-07
183778,2359,1034,3,5,0,4,7,6,8,2,0,,5.0,2.0,2023-04-03
184048,1184,8877,3,1,7,6,4,0,8,2,0,,-1.0,-7.0,2023-05-04
184519,8185,624,6,0,4,8,1,3,7,0,2,7.0,4.0,9.0,2023-05-22
318932,2593,1184,2,5,9,0,8,6,1,0,2,5.0,1.0,2.0,2024-04-25
220298,8185,5248,1,4,6,8,3,0,7,0,2,,1.0,2.0,2023-06-12
183783,5248,120,6,0,7,8,4,5,3,0,2,-4.0,-2.0,2.0,2023-04-10
235016,7969,12694,1,8,7,6,0,4,3,0,2,,7.0,4.0,2023-06-30
314631,1034,2406,9,0,5,6,8,2,1,2,0,5.0,3.0,-8.0,2024-04-14
183808,188,7386,0,3,7,4,6,8,1,2,0,,6.0,-4.0,2023-05-06
312767,1120,624,6,0,2,5,1,9,8,2,1,-4.0,4.0,0.0,2024-03-15
