,match_id,t1,t2,winner,t1_ban1,t1_ban2,t2_ban1,t2_ban2,t1_pick,t2_pick,remaining,t1_mapwins,t2_mapwins,net_h2h,t1_past,t2_past,odds,best_odds,worst_odds,date,t1_elo,t2_elo,elo_diff
1187,68294,6199,3136,False,3,8,1,2,4,0,5,1,2,,-2,5,0.6648075850529838,0.6932515337423313,0.6363636363636364,2022-02-11,1502.0740731747167,1500.0,2.074073174716659
194,68989,474,682,False,3,0,4,8,2,5,1,0,2,-1.0,5,3,0.4538690476190476,0.4791666666666666,0.4285714285714286,2022-02-11,1531.2372552541701,1548.0367503034377,-16.799495049267534
732,69912,918,8027,True,8,5,3,4,1,2,0,2,0,,3,1,,0.0,1.0,2022-02-11,1527.0102238319519,1500.0,27.010223831951862
944,69877,188,120,True,3,4,1,5,2,8,0,2,0,0.0,8,-2,0.6244164332399627,0.6535947712418301,0.5952380952380952,2022-02-11,1486.1721796717984,1500.0,-13.827820328201597
1077,69928,4210,7397,False,3,8,1,2,4,5,0,1,2,,1,2,,0.0,1.0,2022-02-11,1500.0,1500.0,0.0
0,64797,6387,7982,True,8,2,3,5,4,0,1,2,0,,10,4,,0.0,1.0,2022-02-11,1499.263693206478,1500.0,-0.7363067935220897
823,68991,628,472,True,0,2,3,5,4,1,8,2,1,,9,6,0.5813953488372093,0.5813953488372093,0.5813953488372093,2022-02-12,1500.0,1500.0,0.0
565,69879,2,1034,True,2,0,8,5,3,4,1,2,1,1.0,-2,3,0.8098360655737705,0.819672131147541,0.8,2022-02-12,1484.0,1547.8741435008446,-63.87414350084464
211,68283,6199,5366,False,5,8,2,1,3,4,0,1,2,,-1,7,0.4478247642226954,0.4736842105263158,0.4219653179190751,2022-02-12,1485.9785597098366,1500.0,-14.021440290163355
1269,69880,6675,642,True,0,8,2,1,3,4,1,2,0,2.0,5,0,0.6538461538461537,0.6666666666666666,0.641025641025641,2022-02-12,1529.191361686605,1500.0,29.191361686604978
611,68291,6389,6199,True,4,8,2,3,1,5,0,2,0,,-2,0,0.331968331968332,0.3636363636363636,0.3003003003003003,2022-02-12,1500.0,1470.6239205729303,29.376079427069726
871,69915,797,918,False,5,2,3,4,8,1,0,0,2,0.0,4,3,0.1867768595041322,0.1999999999999999,0.1735537190082644,2022-02-12,1502.8175964962497,1541.768856894323,-38.95126039807337
925,69929,7397,8106,True,5,8,1,3,4,0,2,2,0,,3,1,,0.0,1.0,2022-02-12,1516.0,1500.0,16.0
1276,69918,918,797,True,5,1,3,8,2,4,0,2,0,2.0,7,0,,0.0,1.0,2022-02-13,1555.9825626689517,1488.6038907216212,67.37867194733053
966,68993,4915,6460,True,3,1,8,5,0,4,2,2,0,-2.0,6,7,0.4464285714285714,0.4464285714285714,0.4464285714285714,2022-02-13,1503.4761601027296,1500.0,3.4761601027296365
283,68994,397,1209,False,1,5,0,3,4,2,8,0,2,,5,10,0.2753623188405796,0.2753623188405796,0.2753623188405796,2022-02-13,1500.0,1500.0,0.0
1155,69882,533,5248,True,3,4,0,8,1,2,5,2,0,2.0,5,2,0.8661887694145758,0.9259259259259258,0.8064516129032259,2022-02-13,1517.4358728782763,1531.3004348836498,-13.8645620053735
532,69997,4762,1184,False,3,4,0,2,8,5,1,1,2,2.0,2,1,0.3103120243531203,0.3150684931506849,0.3055555555555556,2022-02-15,1500.0,1500.0,0.0
1291,69999,2908,1184,False,4,2,3,8,5,0,1,0,2,2.0,1,1,0.3421052631578947,0.3421052631578947,0.3421052631578947,2022-02-16,1500.0,1516.0,-16.0
1412,68995,628,682,True,0,2,4,8,1,3,5,2,1,0.0,8,4,0.3184713375796178,0.3184713375796178,0.3184713375796178,2022-02-18,1516.0,1563.2637073294102,-47.26370732941018
994,71399,918,795,True,0,3,4,5,1,2,8,2,0,2.0,7,6,0.9433962264150942,0.9433962264150942,0.9433962264150942,2022-02-18,1568.9179831620654,1500.0,68.91798316206541
496,64798,1919,6387,False,3,0,2,8,5,4,1,0,2,-6.0,3,10,0.2364632511511337,0.2481203007518797,0.2248062015503876,2022-02-18,1484.0,1515.2976013366472,-31.297601336647176
295,68285,6199,6389,True,5,0,3,2,8,4,1,2,1,-2.0,-5,2,0.5818870733110051,0.5988023952095809,0.5649717514124294,2022-02-18,1455.9735244961844,1514.650396076746,-58.67687158056151
699,70057,1615,2,False,8,2,3,5,1,0,4,1,2,,2,-2,0.130369026013309,0.1379310344827585,0.1228070175438595,2022-02-18,1485.5337670181784,1502.9088151092737,-17.375048091095323
811,64793,624,879,True,8,5,1,2,0,4,3,2,0,5.0,7,4,0.9177401700766186,0.9345794392523364,0.9009009009009008,2022-02-18,1515.2976013366472,1500.0,15.297601336647176
886,70058,5248,642,False,0,4,3,5,1,8,2,1,2,,-2,-3,0.4753735771699843,0.5495495495495496,0.4011976047904191,2022-02-18,1514.6622869097523,1485.3411575028642,29.321129406888076
466,70059,533,188,False,4,3,0,8,2,1,5,1,2,-4.0,9,9,0.3719977951019765,0.3975903614457831,0.3464052287581699,2022-02-19,1534.0740208521738,1502.808638313395,31.265382538778795
1005,68998,397,2593,False,2,4,1,8,5,0,3,0,2,,5,0,0.1935483870967741,0.1935483870967741,0.1935483870967741,2022-02-19,1484.0,1530.5612260339533,-46.56122603395329
286,71400,799,918,True,2,5,0,3,1,4,8,2,1,0.0,10,7,0.6042792463852782,0.6097560975609756,0.5988023952095809,2022-02-19,1500.0,1581.785174701847,-81.78517470184693
1170,68289,5366,6199,False,5,2,4,8,1,3,0,0,2,1.0,1,-2,0.3728866871117402,0.3827160493827161,0.3630573248407643,2022-02-19,1515.3546391369064,1474.6502933070367,40.70434582986968
702,70063,120,6675,False,1,3,2,5,8,4,0,1,2,,-2,5,0.4949494949494949,0.4949494949494949,0.4949494949494949,2022-02-20,1483.3635413584034,1543.8502041837407,-60.48666282533736
296,69000,4915,474,False,2,3,5,0,4,1,8,1,2,1.0,10,1,0.2424242424242424,0.2424242424242424,0.2424242424242424,2022-02-20,1519.3160823554942,1516.0102982281976,3.305784127296647
1018,70288,581,6961,False,8,2,1,5,4,3,0,1,2,,1,2,0.3547312767994671,0.3630573248407643,0.3464052287581699,2022-02-20,1500.0,1500.0,0.0
1093,70061,1034,8127,False,2,8,1,0,3,5,4,0,2,,1,-1,0.2956349206349206,0.3055555555555556,0.2857142857142857,2022-02-20,1528.965328391571,1500.0,28.965328391570893
1233,72343,1837,731,True,0,5,8,1,4,2,3,2,0,,2,3,,0.0,1.0,2022-02-21,1500.0,1500.0,0.0
24,72342,6094,908,False,0,8,3,2,4,1,5,0,2,,-2,3,,0.0,1.0,2022-02-21,1500.0,1500.0,0.0
689,72347,5443,731,True,2,1,0,3,5,4,8,2,0,,1,0,,0.0,1.0,2022-02-22,1500.0,1484.0,16.0
1347,72351,5504,6094,False,2,8,3,0,5,4,1,1,2,,0,-4,,0.0,1.0,2022-02-23,1500.0,1484.0,16.0
289,71615,8185,8082,True,3,8,5,4,2,0,1,2,0,,4,5,0.9433962264150942,0.9433962264150942,0.9433962264150942,2022-02-23,1500.0,1500.0,0.0
840,72350,731,5944,False,5,0,2,8,4,1,3,0,2,,-3,-2,,0.0,1.0,2022-02-23,1468.736306793522,1500.0,-31.26369320647791
82,64811,624,7980,True,3,1,8,8,5,4,2,2,0,,11,4,0.9009009009009008,0.9009009009009008,0.9009009009009008,2022-02-24,1530.5935756536705,1500.0,30.59357565367054
784,72354,1120,4460,True,0,3,8,5,4,1,2,2,0,2.0,3,-2,0.9090909090909092,0.9090909090909092,0.9090909090909092,2022-02-24,1500.0,1500.0,0.0
388,71617,8182,8086,True,3,0,5,4,1,8,2,2,1,,0,8,0.6289308176100629,0.6289308176100629,0.6289308176100629,2022-02-24,1500.0,1500.0,0.0
103,70009,6230,1184,False,3,4,0,1,8,5,2,0,2,,2,1,0.1735537190082644,0.1735537190082644,0.1735537190082644,2022-02-24,1500.0,1531.263693206478,-31.26369320647791
1488,72068,6199,4150,False,2,5,3,0,4,1,8,1,2,-4.0,1,-2,0.5901639344262295,0.5901639344262295,0.5901639344262295,2022-02-24,1492.5162682667813,1516.736306793522,-24.220038526740836
1447,72072,3136,6199,True,2,0,1,8,4,3,5,2,0,0.0,2,2,,0.0,1.0,2022-02-25,1516.09551346488,1477.6298390058143,38.46567445906567
1179,72356,1120,1837,True,1,8,2,0,5,4,3,2,1,2.0,4,2,,0.0,1.0,2022-02-25,1516.0,1516.0,0.0
1178,70064,188,5248,True,5,8,3,1,2,4,0,2,1,1.0,8,-4,0.9615384615384616,0.9615384615384616,0.9615384615384616,2022-02-25,1520.2445883617193,1497.315195557229,22.929392804490362
310,71618,2554,8185,False,5,1,3,8,2,0,4,0,2,,4,6,0.0099009900990099,0.0099009900990099,0.0099009900990099,2022-02-25,1500.0,1516.0,-16.0
