,map_id,t1,t2,winner,map,date,round_wr_diff,retake_wr_diff,postplant_wr_diff,fk_percent_diff,pistol_wr_diff,acs_diff,kills_diff,kdr_diff,kadr_diff,kast_diff,rating_diff
404,153726,188,7386,7386,8,2024-02-16,0.018225472006984655,-0.04840425531914894,-0.1018315018315018,0.10131325257375678,0.5075757575757576,2.6444444444444173,0.015751755247553678,0.022046098292722305,0.16381421753268133,0.03200000000000014,0.05049206349206348
405,153727,188,7386,188,6,2024-02-16,0.07425615320352164,-0.03847717111502508,0.24487065120428197,0.021271126534284424,0.4244031830238727,6.711111111111109,0.14851230640704305,0.09929899139251197,0.1975062047842846,0.057347222222222216,0.1320138888888892
406,118944,1034,2,1034,6,2023-04-09,-0.14588677472398404,-0.3197903014416776,-0.07724589231097512,-0.11920249666296928,-0.26735833998403835,-20.162068965517335,-0.5393939393939395,-0.2707746350813913,-0.33940621793212444,-0.03275862068965585,-0.2782241379310342
407,118945,1034,2,1034,5,2023-04-09,0.07292929292929295,-0.16594414759552373,0.10902861749294646,0.16726684794591018,-0.05307262569832405,12.337931034482665,0.18787878787878753,0.2183087366367109,0.338207784831579,0.06524137931034424,0.10477586206896583
408,164139,474,14419,14419,6,2024-04-19,0.28183983873923396,0.25688073394495414,0.6914893617021277,0.14275242807403332,0.5813953488372093,43.400000000000006,1.1306578706248853,0.45935979513444314,0.6635467349551856,0.1645714285714287,0.29228571428571437
409,164140,474,14419,474,5,2024-04-19,-0.13209109730848861,-0.027777777777777735,0.19444444444444442,0.04140786749482395,0.6,-11.519999999999982,-0.17018633540372674,-0.05429292929292928,-0.026515151515151603,-0.015199999999999991,-0.054400000000000004
410,164141,474,14419,474,0,2024-04-19,0.09421196087862754,-0.011636363636363639,0.33109369167599856,0.037403456758295484,0.34822804314329736,20.344497607655512,0.4259098925765592,0.21511936820535127,0.3843610876878021,0.06733014354066968,0.15506698564593302
411,151618,918,2406,918,9,2023-12-16,-0.21604938271604934,-0.4482758620689655,-0.22857142857142865,-0.20987654320987653,-0.16666666666666674,-53.0,-1.141975308641975,-0.4616189290161893,-0.6404981320049814,-0.21499999999999997,-0.24750000000000005
412,151619,918,2406,2406,2,2023-12-16,-0.2685567010309279,-0.17857142857142855,0.16666666666666663,-0.17886597938144327,-0.5384615384615384,-62.16,-1.3144329896907219,-0.7238214434710054,-1.065081351689612,-0.2752,-0.5436
413,151620,918,2406,918,4,2023-12-16,-0.017833615659702595,0.03947368421052627,0.020416496529195638,0.024191628172770208,0.05459057071960294,0.7272727272726911,-0.038067005458309655,-0.035657161998073894,0.13806054515764354,0.04277272727272752,0.01740909090909104
414,120867,337,11058,11058,0,2023-03-28,0.03568830112773108,-0.03893058161350843,-0.05582010582010588,-0.00638762277717142,-0.28251366120218585,2.03949367088606,-0.015209389912477889,0.029061700618629005,0.058750599393586844,0.0017468354430377753,0.09193164556962063
415,120868,337,11058,11058,4,2023-03-28,0.10076230076230075,0.019230769230769218,-0.03679653679653683,0.0711018711018711,-0.39999999999999997,10.813333333333333,0.11836451836451811,0.12882839086047648,0.17647058823529416,0.016666666666666496,0.1757333333333334
416,130941,2304,1184,1184,4,2023-05-23,-0.1165689149560118,-0.100169779286927,-0.0625,0.16019061583577715,0.1333333333333333,-6.999999999999972,-0.18658357771260992,-0.07150409727729312,-0.07936822627544271,0.049000000000000044,-0.028000000000000247
417,130942,2304,1184,1184,0,2023-05-23,0.0418967815654161,0.19318181818181818,-0.06766917293233077,-0.12702342410969342,0.16666666666666669,4.033333333333331,0.08017520472291029,0.1061635848742295,0.17203065134099615,-0.014333333333333309,0.06225000000000014
418,145724,2,13188,2,1,2023-10-23,0.11128691983122369,0.2,0.06818181818181823,0.1566455696202531,0.5555555555555556,-3.1333333333333258,-0.03375527426160341,0.09462714219546076,0.08073182028717008,0.03533333333333333,0.09733333333333338
419,145725,2,13188,13188,0,2023-10-23,0.005152868430092772,0.06725274725274727,-0.125,0.01879570103548117,0.5111111111111111,2.564102564102541,0.02865976345880128,0.06139537096505632,0.1277385285092414,-0.0089230769230767,0.08676923076923071
420,145726,2,13188,13188,4,2023-10-23,-0.12714914034386243,0.01648351648351648,-0.12072649572649574,-0.036156965785114514,0.2888888888888889,-18.035897435897482,-0.2814302850288457,-0.12333060441423338,-0.1686637392807231,0.010410256410256502,-0.0795641025641024
421,163200,6387,278,278,6,2024-04-20,0.11070472792149871,0.09083263246425571,0.07330652644602542,0.03773416592328277,0.2525862068965517,10.160317460317486,0.20053523639607507,0.10820131479685313,0.19654803650923935,0.055158730158730074,0.11806349206349209
422,163201,6387,278,6387,8,2024-04-20,0.08209770563446228,-0.054945054945054916,-0.11684782608695654,0.10535351958795064,0.14285714285714285,31.614285714285728,0.5092867176525675,0.15174235714503848,0.2972849158598785,0.07385714285714284,0.1745714285714287
423,163202,6387,278,6387,0,2024-04-20,0.07516574806294435,0.09677419354838712,-0.2827586206896552,0.0906621934659318,0.5735294117647058,24.279999999999973,0.5296748941608755,0.20584220584220592,0.23348348348348358,0.03960000000000008,0.12100000000000022
424,113058,1001,5248,5248,7,2023-02-15,-0.037983204590969544,-0.06034195689368099,0.021628264208909398,-0.021284379772046558,-0.026989160091438702,-9.4160714285714,-0.14781116030564512,-0.08063897906915862,-0.13271888421581446,-0.014764880952381043,-0.0677336309523815
425,113059,1001,5248,5248,0,2023-02-15,-0.037983204590969544,-0.06034195689368099,0.021628264208909398,-0.021284379772046558,-0.026989160091438702,-9.4160714285714,-0.14781116030564512,-0.08063897906915862,-0.13271888421581446,-0.014764880952381043,-0.0677336309523815
426,151207,278,4915,4915,9,2023-12-02,-0.1411503551696922,-0.07948153582783077,-0.10664503725066088,-0.07538785023677974,-0.24382716049382713,-19.875338753387638,-0.4260192630228885,-0.21320077567632134,-0.2670770417227728,-0.05081571815718189,-0.16641653116531152
427,119635,14,8185,8185,1,2023-05-15,0.17855615815649128,0.3637687188019967,-0.3861346231358323,0.1301597307428211,-0.14188532555879496,37.994736842105226,0.8713346985620096,0.5847332270329941,0.6431276830614499,0.13919298245614053,0.3158859649122805
428,119636,14,8185,8185,7,2023-05-15,-0.18998716302952506,-0.1777777777777778,-0.29749103942652333,-0.15875053487376978,0.36666666666666664,-19.14285714285711,-0.33333333333333304,-0.2502921243281141,-0.46877652181399965,-0.07447619047619047,-0.2088095238095239
429,132692,624,8185,624,8,2023-06-17,-0.026170798898071612,0.051515151515151514,0.10750279955207165,0.07713498622589532,0.026315789473684237,-11.299999999999983,-0.16115702479338845,-0.08569164003014462,-0.23123099711545958,-0.03833333333333344,-0.009999999999999787
430,132693,624,8185,624,1,2023-06-17,0.2046218487394958,0.1745454545454545,0.1908212560386473,0.14621848739495796,0.3904761904761904,34.19999999999996,0.8156862745098037,0.46853146853146843,0.5959069179408163,0.11699999999999988,0.27149999999999985
431,119010,6961,2355,2355,7,2023-05-01,0.12741258741258737,0.07897793263646924,0.5847953216374269,-0.040559440559440496,0.01904761904761909,18.842857142857156,0.4552447552447556,0.20505319148936163,0.18810444874274657,0.0525714285714286,0.12749999999999995
432,119011,6961,2355,6961,0,2023-05-01,0.10262725779967158,0.18095238095238092,0.2647058823529411,0.13505747126436785,0.08058608058608063,24.099999999999994,0.555008210180624,0.31473048819231186,0.4368668149246355,0.1246666666666667,0.2224999999999998
433,119012,6961,2355,6961,8,2023-05-01,0.07069892473118283,0.08095238095238094,0.2009419152276295,0.029032258064516148,0.25384615384615383,3.7250000000000227,0.24932795698924703,0.09200502586509396,0.007391643933305492,-0.011499999999999955,0.06800000000000006
434,119297,8877,2593,2593,4,2023-05-11,-0.14393939393939398,0.02429667519181583,-0.10317460317460314,0.0145202020202021,-0.10416666666666669,-15.633333333333326,-0.3421717171717171,-0.2943348138153332,-0.4038623713948388,-0.08066666666666655,-0.20499999999999985
435,119298,8877,2593,2593,6,2023-05-11,-0.08320839580209893,-0.15686274509803919,-0.15909090909090906,0.022863568215892083,0.08653846153846156,-27.133333333333354,-0.48275862068965525,-0.3078059591233686,-0.3999015020930805,-0.06719999999999993,-0.2211333333333333
436,163236,17,878,17,2,2024-04-29,-0.033302497687326515,0.057142857142857134,0.006257822277847325,-0.05319148936170215,-0.09999999999999998,-5.842857142857156,-0.11979648473635551,-0.10723577235772352,-0.09097560975609764,-0.062000000000000055,-0.0407142857142857
437,163237,17,878,878,0,2024-04-29,0.06478873239436628,0.09359756097560978,0.07980145093547153,0.12394366197183099,0.028735632183908066,6.822222222222223,0.16338028169014107,0.12382567515678988,0.12351209522590545,0.006333333333333302,0.04300000000000004
438,163238,17,878,878,8,2024-04-29,0.06778647532072196,-0.06028257456828884,0.07917888563049846,0.05011959121548171,0.052631578947368474,9.62619047619043,0.19678190911067617,0.1244011182122986,0.18260838299670112,0.022904761904761872,0.1291309523809523
439,125435,12694,12514,12694,0,2023-04-15,0.22276822276822278,0.058270676691729306,0.4871794871794872,-0.029484029484029506,0.3303867403314917,24.844827586206947,0.5372645372645373,0.3371621643872609,0.42672256233102046,0.08586206896551718,0.22663793103448304
440,145363,2406,11997,2406,0,2023-11-05,-0.12316968130921618,-0.08000000000000002,-0.05862068965517242,-0.11049587793773846,0.14,-34.62222222222218,-0.6317214224190968,-0.20933808059556558,-0.3823838808868749,-0.04600000000000004,-0.13755555555555565
