match_id,t1,t2,t1_ban1,t1_ban2,t2_ban1,t2_ban2,t1_pick,t2_pick,remaining,winner,t1_mapwins,t2_mapwins,net_h2h,t1_past,t2_past,best_odds,worst_odds,date
108073,7055,3342,5,8,4,1,3,0,2,True,2,0,7,11,5,0.9009009009009008,0.9009009009009008,2022-07-05
299823,15015,11276,8,0,1,9,6,5,2,False,0,2,,-1,-8,0.7727272727272727,0.7198879551820728,2024-02-28
300487,724,11002,8,1,0,5,2,6,9,False,0,2,0,5,4,0.33333333333333337,0.2957746478873239,2024-03-29
161251,10600,10603,1,4,2,5,7,0,3,True,2,0,,3,4,0.0,1.0,2022-12-09
154181,2532,6387,3,4,1,0,2,7,5,False,0,2,2,0,4,0.11504424778761058,0.11504424778761058,2022-10-25
341858,9762,13797,2,8,5,0,9,6,1,False,0,2,0,-1,-2,0.41860465116279066,0.41860465116279066,2024-05-05
285176,1033,2914,2,6,8,9,1,4,0,True,2,0,,2,-4,0.0,1.0,2023-11-09
185984,10725,106,7,4,3,8,6,5,0,True,2,1,,1,5,0.5102040816326531,0.5,2023-03-29
161201,188,6882,4,3,2,5,0,1,7,False,1,2,,1,0,0.8430141287284144,0.8430141287284144,2022-12-09
248271,624,1184,3,1,4,6,0,7,8,True,2,0,,5,2,0.8928571428571428,0.8771929824561404,2023-08-16
277422,13188,13746,1,2,9,8,4,6,0,True,2,0,,2,2,0.0,1.0,2023-10-07
309145,8182,14590,6,0,2,9,8,5,1,False,0,2,,-6,3,0.13043478260869557,0.11504424778761058,2024-03-21
99607,6199,4150,3,0,1,5,2,8,4,True,2,1,-5,2,3,0.47846889952153115,0.47846889952153115,2022-05-12
213134,10598,8303,0,7,3,1,6,4,8,True,2,1,-2,-5,-6,0.819672131147541,0.3676470588235294,2023-05-25
295617,11058,5248,1,0,6,2,5,9,8,False,0,2,,-2,5,0.6666666666666667,0.2592592592592593,2024-02-24
99072,6946,7386,5,3,2,8,1,0,4,False,1,2,2,-2,6,0.2857142857142857,0.2857142857142857,2022-05-21
272935,5214,11780,4,9,2,6,8,0,1,False,1,2,,-2,0,0.0,1.0,2023-09-16
77816,2406,4894,1,8,0,4,2,5,3,False,0,2,-2,-1,4,0.4219653179190751,0.4219653179190751,2022-03-24
167051,1124,10735,8,4,7,0,6,3,5,True,2,0,,1,2,0.7407407407407407,0.7407407407407407,2023-03-01
324708,8904,1033,9,2,1,8,6,0,5,False,1,2,5,-5,3,0.14529914529914523,0.11504424778761058,2024-04-11
151873,799,2917,3,4,2,1,7,0,5,False,1,2,1,2,-1,0.4871794871794871,0.4871794871794871,2022-10-15
157703,1001,6387,3,0,7,4,5,1,2,True,2,0,,7,4,0.6211180124223602,0.6211180124223602,2022-11-19
299637,15072,10727,2,6,1,8,0,9,5,True,2,1,,8,2,0.6711409395973155,0.6060606060606061,2024-03-07
166334,14,106,5,7,8,6,0,3,4,False,0,2,-8,3,1,0.6240601503759399,0.6240601503759399,2023-01-14
201257,8086,12446,4,5,8,3,6,0,7,True,2,1,,5,-1,0.7299270072992701,0.7299270072992701,2023-05-03
89241,624,3351,4,3,1,2,5,0,8,False,1,2,2,10,9,0.8522895125553914,0.8522895125553914,2022-05-28
188030,6387,12477,6,4,0,3,5,7,8,True,2,0,,10,0,0.9523809523809523,0.9174311926605504,2023-04-12
112285,8127,6961,5,2,4,1,3,0,8,True,2,1,2,2,9,0.6024096385542169,0.6024096385542169,2022-07-12
202347,7269,11896,4,8,7,1,0,3,6,True,2,1,0,6,0,0.9174311926605504,0.9009009009009008,2023-05-16
297860,14754,466,5,9,8,2,1,6,0,False,0,2,,3,5,0.07407407407407418,0.04761904761904767,2024-03-03
318911,8877,14419,0,5,6,8,9,2,1,True,2,0,-3,3,4,0.7633587786259541,0.7042253521126761,2024-04-03
71399,918,795,0,3,4,5,1,2,8,True,2,0,2,7,6,0.9433962264150942,0.9433962264150942,2022-02-18
299649,15117,15072,2,1,5,0,6,9,8,False,1,2,,4,6,0.5652173913043478,0.5348837209302326,2024-03-20
285173,13368,4733,1,6,9,2,8,4,0,False,0,2,-1,-1,0,0.0,1.0,2023-11-18
112606,8326,474,3,0,4,8,1,2,5,True,2,1,2,0,4,0.6211180124223602,0.6211180124223602,2022-08-13
295201,4686,4669,2,1,5,9,6,0,8,True,2,1,3,4,-5,0.7462686567164178,0.7352941176470588,2024-02-03
213194,474,2059,4,8,7,3,1,6,0,True,2,1,0,3,-5,0.7299270072992701,0.7142857142857143,2023-05-23
247094,1034,12010,0,3,4,1,8,6,7,False,0,2,,1,1,0.8648648648648649,0.8116760828625236,2023-08-08
168292,11060,2554,5,2,7,0,3,1,4,False,1,2,,-1,-8,0.7929606625258799,0.7929606625258799,2023-02-07
124597,106,9477,3,7,2,5,0,1,4,True,2,1,,9,7,0.0,1.0,2022-08-27
296790,6665,623,0,8,2,9,5,6,1,True,2,0,-3,2,-3,0.7246376811594204,0.7092198581560284,2024-01-27
294783,11232,12514,2,9,8,0,1,5,6,True,2,1,0,0,-8,0.7194244604316548,0.7042253521126761,2024-02-03
287380,6368,7511,2,6,4,8,9,1,0,True,2,0,,9,7,0.9803921568627451,0.9259259259259258,2023-11-29
213201,4915,1184,4,8,7,1,3,6,0,False,0,2,2,2,2,0.7549019607843137,0.180327868852459,2023-05-26
288469,4733,1033,1,4,8,9,0,6,2,False,0,2,-2,3,8,0.45945945945945954,0.45945945945945954,2023-12-02
183778,2359,1034,0,4,3,5,6,7,8,True,2,0,,5,2,0.5,0.38910505836575876,2023-04-03
299820,11275,4330,5,6,2,1,9,0,8,False,0,2,-7,7,-5,0.8007968127490039,0.736842105263158,2024-02-23
299620,6946,15073,8,0,6,5,2,9,1,True,2,0,,-2,-2,0.625,0.625,2024-02-21
130678,8185,628,7,3,4,1,2,0,5,True,2,0,-1,2,6,0.4081632653061224,0.4081632653061224,2022-09-09
349123,8380,14478,5,8,9,2,0,1,6,False,0,2,1,0,-2,0.5594713656387665,0.5098039215686274,2024-05-18
286652,497,4210,9,1,0,4,8,2,6,False,1,2,-6,1,3,0.24242424242424243,0.21875,2023-11-17
237269,5448,878,1,7,6,3,8,4,0,True,2,1,1,-5,2,0.6172839506172839,0.5780346820809249,2023-07-20
69000,4915,474,2,3,5,0,4,1,8,False,1,2,1,10,1,0.24242424242424243,0.24242424242424243,2022-02-20
165577,4686,4762,4,7,3,8,6,0,5,True,2,0,3,5,-8,0.8928571428571428,0.8928571428571428,2023-02-23
312802,8877,624,5,8,9,2,1,6,0,False,1,2,,6,1,0.4949494949494949,0.45945945945945954,2024-03-18
283126,4330,3136,9,1,2,0,6,4,8,False,0,2,,2,6,0.41860465116279066,0.3421052631578947,2023-11-04
299657,15117,15074,5,6,1,2,9,8,0,True,2,0,,1,-1,0.8849557522123894,0.8333333333333334,2024-04-03
275689,13586,8904,9,6,8,2,0,4,1,False,0,2,,0,7,0.09090909090909094,0.019607843137254943,2023-09-28
188584,9436,11479,3,6,7,8,0,1,4,False,1,2,,-3,9,0.029126213592232997,0.029126213592232997,2023-05-16
168991,6675,11329,5,3,2,4,1,7,0,True,2,0,,2,1,0.819672131147541,0.819672131147541,2023-02-08
318929,2593,7035,6,0,9,8,5,1,2,True,2,0,2,1,-7,0.9523809523809523,0.9433962264150942,2024-04-19
288467,13368,13587,1,2,9,0,4,6,8,True,2,0,1,-4,-4,0.0,1.0,2023-12-01
67332,637,14,3,4,5,0,8,1,2,True,2,0,,4,6,0.6493506493506493,0.6493506493506493,2022-01-29
101865,8897,8099,4,0,1,2,3,5,8,True,2,1,,5,7,0.33112582781456956,0.33112582781456956,2022-05-24
300572,4685,6159,1,2,9,8,0,6,5,False,1,2,3,2,5,0.19354838709677413,0.06542056074766356,2024-02-28
324701,14819,8369,9,8,5,1,2,6,0,False,0,2,-1,-8,0,0.06542056074766356,0.06542056074766356,2024-04-03
235560,1837,9052,4,6,0,7,8,3,1,True,2,0,4,-8,2,0.8403361344537815,0.819672131147541,2023-07-07
184458,624,278,5,4,0,8,7,6,3,True,2,0,1,1,-6,0.9523809523809523,0.9433962264150942,2023-03-26
278906,11980,11981,9,6,8,1,2,4,0,False,1,2,,3,0,0.33333333333333337,0.33333333333333337,2023-10-13
69926,623,7685,5,8,3,2,0,4,1,True,2,0,,0,1,0.0,1.0,2022-02-11
99473,8591,8448,0,8,3,2,1,4,5,False,1,2,-3,-2,6,0.13793103448275856,0.13793103448275856,2022-05-15
329911,17,8185,6,2,5,8,1,9,0,True,2,1,-1,1,5,0.5263157894736842,0.4672897196261682,2024-05-05
222699,282,7313,4,8,0,7,3,1,6,True,2,0,,2,6,0.7246376811594204,0.7142857142857143,2023-06-28
272988,5944,12685,9,1,6,8,0,2,4,True,2,1,,2,2,0.3164556962025316,0.28735632183908044,2023-09-12
188124,10597,3179,0,8,3,6,7,4,5,True,2,0,1,11,-3,0.7936507936507936,0.7936507936507936,2023-03-30
314908,14822,13188,9,6,5,0,8,2,1,False,1,2,,2,5,0.11504424778761058,0.1071428571428572,2024-04-03
314542,8369,13368,9,6,5,2,0,1,8,False,0,2,1,6,6,0.576271186440678,0.574468085106383,2024-03-15
101860,8185,2542,5,8,3,2,1,0,4,True,2,0,4,3,-2,0.7936507936507936,0.7936507936507936,2022-05-21
349882,2934,11229,0,9,8,2,5,6,1,True,2,1,2,-1,-1,0.8695652173913044,0.8333333333333334,2024-05-20
189530,876,8946,7,1,8,0,4,6,3,True,2,1,3,1,-3,0.0,1.0,2023-05-22
