id,linkname,fullname,abbrev,secondary_id
1033,reckoning-esports,Reckoning Esports,RGES
13763,hyderabad-hydras,Hyderabad Hydras,HH
14758,dark-genesis,DARK GENESIS
14759,airstrikers,AIRSTRIKERS
8485,prime-5,prime 5,p5
14771,black-flag,Black Flag,OBF
14605,deathwish-esports,Deathwish eSports
14765,the-zoo,THE ZOO
14762,vicinity-esports,Vicinity eSports
14763,the-covenant,The Covenant
14770,team-rogers,Team Rogers
14769,unknown-5,Unknown 5
13370,asmodeus-colosseum,Asmodeus Colosseum,ACE
14764,celerity-esports,Celerity eSports
14767,consolidate-gaming,Consolidate Gaming
14760,supreme-sports,Supreme Sports
14766,o7-esports,o7 Esports
14768,mogo-esports,Mogo eSports
13374,airavata-esports,AIRAVATA ESPORTS,AVT
14761,alternate-realities,Alternate Realities,AR
14205,dieversity-esports,Dieversity Esports,DIE
4680,team-69,Team 69,T69
14772,team-domination,Team Domination
14604,van-dijk-fan-club,Van Dijk Fan Club,VD.FC
15208,edge,EDGE
14688,xu-gang,Xu Gang,XG
15253,focusgg,FOCUSGG,FOC
15216,rub-n-pug,Rub n' Pug,RNP
10305,club-penguin,club penguin
14689,peace-love,Peace & Love
13849,jft,JFT
15227,after-life-esports,After Life Esports,ALE
15197,ipgn,iPGN
15221,corn-dawgs,Corn Dawgs,CD
15289,arena-internet-cafe,Arena Internet Cafe,AIC
14281,arcade-esports,Arcade Esports,ARC
14469,jijiehao,JiJieHao,JJH
1319,funcrew,Funcrew,FC
9727,koopa-troopas,Koopa Troopas,KTS
12097,antic-esports,Antic Esports,ANTC
14699,barackobamapizza,BarackObamaPizza
14688,xu-gang,Xu Gang,XG
14689,peace-love,Peace & Love
15197,ipgn,iPGN
15196,tyrants,Tyrants
15202,gurrrreeeetings,GURRRREEEETINGS
14683,infernum,Infernum
13849,jft,JFT
15198,we-dont-play-anymore,WE DONT PLAY ANYMORE
13863,estio-esports,Estio eSports,EST
15199,chromies-womies,Chromie's Womies
